Borough,IMD - Average rank ,IMD - Rank of average rank ,IMD - Average score ,IMD - Rank of average score ,IMD - Proportion of LSOAs in most deprived 10% nationally ,IMD - Rank of proportion of LSOAs in most deprived 10% nationally ,IMD 2019 - Extent ,IMD 2019 - Rank of extent ,IMD 2019 - Local concentration ,IMD 2019 - Rank of local concentration ,Income - Average rank,Income - Rank of average rank,Income - Average score,Income - Rank of average score,Income - Proportion of LSOAs in most deprived 10% nationally,Income - Rank of Proportion of LSOAs in most deprived 10% nationally,Income - Scale,Income - Rank of scale,Employment - Average rank,Employment - Rank of average rank,Employment - Average score,Employment - Rank of average score,Employment - Proportion of LSOAs in most deprived 10% nationally,Employment - Rank of proportion of LSOAs in most deprived 10% nationally,Employment - Scale,Employment - Rank of scale,"Education, Skills and Training - Average rank","Education, Skills and Training - Rank of average rank","Education, Skills and Training - Average score","Education, Skills and Training - Rank of average score","Education, Skills and Training - Proportion of LSOAs in most deprived 10% nationally","Education, Skills and Training - Rank of proportion of LSOAs in most deprived 10% nationally",Health Deprivation and Disability - Average rank,Health Deprivation and Disability - Rank of average rank,Health Deprivation and Disability - Average score,Health Deprivation and Disability - Rank of average score,Health Deprivation and Disability - Proportion of LSOAs in most deprived 10% nationally,Health Deprivation and Disability - Rank of proportion of LSOAs in most deprived 10% nationally,Crime - Average rank,Crime - Rank of average rank,Crime - Average score,Crime - Rank of average score,Crime - Proportion of LSOAs in most deprived 10% nationally,Crime - Rank of proportion of LSOAs in most deprived 10% nationally,Barriers to Housing and Services - Average rank,Barriers to Housing and Services - Rank of average rank,Barriers to Housing and Services - Average score,Barriers to Housing and Services - Rank of average score,Barriers to Housing and Services - Proportion of LSOAs in most deprived 10% nationally,Barriers to Housing and Services - Rank of proportion of LSOAs in most deprived 10% nationally,Living Environment - Average rank,Living Environment - Rank of average rank,Living Environment - Average score,Living Environment - Rank of average score,Living Environment - Proportion of LSOAs in most deprived 10% nationally,Living Environment - Rank of proportion of LSOAs in most deprived 10% nationally
City of London,12420.5,208,14.7,212,0,195,0,220,24167,236,8080,292,0.1,280,0,201,431,316,8325.3,286,0.1,286,0,209,218.5,316,5270.4,314,5.5,314,0,243,8758.3,247,-0.7,254,0,173,1234.8,317,-1.7,317,0,201,28055.8,10,35.7,10,0.7,5,26411.2,10,39,13,0.3,22
Barking and Dagenham,25551.9,5,32.8,21,0,139,0.5,20,29391.9,125,25142.7,4,0.2,20,0,136,39254,51,21951.1,43,0.1,70,0,209,14074.8,73,21696.4,44,25.5,101,0,243,19499.7,94,0.2,96,0,162,23668.3,21,0.5,28,0.1,55,31669.7,2,46.3,2,0.9,3,23068.5,41,29.1,52,0,165
Barnet,13803.4,184,16.1,190,0,193,0.1,194,26151.4,196,16104.1,137,0.1,149,0,185,41746,45,13169.1,201,0.1,205,0,209,16661,57,7894.6,302,7.8,302,0,243,5011.8,297,-1.1,298,0,173,17479.5,111,0.1,113,0,168,25355.6,20,31.2,21,0.2,42,20275.3,71,24.7,91,0,191
Bexley,13529.7,190,16.3,187,0,195,0.1,175,27051.8,179,14732.3,171,0.1,170,0,198,25467,95,13522.2,194,0.1,193,0,203,10756,98,16899.3,140,18.3,175,0,241,9446.2,228,-0.6,230,0,173,14596.5,165,-0.1,156,0,172,20691,58,25.9,61,0.1,101,16997,123,19.8,144,0,251
Brent,21083,49,25.6,79,0.1,116,0.2,101,29908.7,114,21445.3,38,0.2,65,0.1,92,50137,27,17690.6,110,0.1,122,0,132,19894.8,42,14477.3,199,15.2,225,0,243,10642.8,210,-0.5,207,0,173,21996.4,45,0.4,49,0.1,68,30661.4,4,42.8,3,0.8,4,22811.3,46,28.7,54,0,180
Bromley,11297.5,230,14.2,223,0,192,0.1,176,27626.6,170,12232.8,219,0.1,207,0,135,29540,82,11414.4,231,0.1,224,0,208,12757.5,82,9841.2,281,10.6,277,0,243,6522.5,275,-0.9,280,0,173,15906.4,132,0,132,0.1,121,22995.1,32,27.8,40,0.1,112,15733,140,18.4,166,0,251
Camden,16763.3,132,20.1,138,0,195,0.1,139,27872.9,167,18655.6,87,0.1,90,0.1,97,34330,63,15925.9,151,0.1,148,0,199,14945.5,66,10337.7,274,10.5,279,0,243,10894.3,207,-0.6,227,0,173,20400.7,70,0.3,69,0.1,72,17780.1,132,21.6,152,0,250,24878.5,22,33.5,35,0.1,66
Croydon,18371.2,102,22.5,108,0,157,0.2,109,29186.8,133,18584.2,89,0.1,97,0.1,115,51702,26,16769.5,128,0.1,143,0,195,20961.3,32,14304.1,203,15.6,220,0,224,14352.6,165,-0.2,165,0,172,20068.8,74,0.3,74,0.1,122,27123.4,15,34,14,0.4,14,20381,69,26,77,0.1,130
Ealing,18991.7,88,22.7,105,0,163,0.2,127,28827.7,143,19531.3,63,0.1,94,0.1,114,48235,34,16590.7,136,0.1,146,0,161,19506.8,43,12144.4,246,12.5,253,0,243,12374.1,189,-0.3,189,0,173,19489.7,80,0.2,79,0.1,99,28039.4,11,36.5,6,0.5,9,23725.1,34,30.3,46,0,161
Enfield,20418.7,59,25.8,74,0.1,119,0.3,61,29748.5,116,21937.5,30,0.2,41,0.1,65,56010,17,18498.5,92,0.1,104,0,176,20119.5,40,16856,141,20.3,145,0,242,9915.4,221,-0.5,222,0,173,19084.4,84,0.2,89,0,147,29478.9,5,39.7,5,0.6,6,21993.3,53,27.5,65,0,182
