LSOA_code,Region,LA_Code,LA_Name,Food_pop,FoodPTt,FoodPT15n,FoodPT30n,FoodPT45n,FoodPT60n,FoodPT15pct,FoodPT30pct,FoodPT45pct,FoodPT60pct,FoodCyct,FoodCyc15n,FoodCyc30n,FoodCyc45n,FoodCyc60n,FoodCyc15pct,FoodCyc30pct,FoodCyc45pct,FoodCyc60pct,FoodCart,FoodCar15n,FoodCar30n,FoodCar45n,FoodCar60n,FoodCar15pct,FoodCar30pct,FoodCar45pct,FoodCar60pct
E01000001,London,E09000001,City of London,822,3,10,10,10,10,100,100,100,100,6,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000002,London,E09000001,City of London,962,4,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,8,10,10,10,10,100,100,100,100
E01000003,London,E09000001,City of London,860,4,10,10,10,10,100,100,100,100,6,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000005,London,E09000001,City of London,541,2,10,10,10,10,100,100,100,100,6,10,10,10,10,100,100,100,100,6,10,10,10,10,100,100,100,100
E01000006,London,E09000002,Barking and Dagenham,613,7,8,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000007,London,E09000002,Barking and Dagenham,530,4,9,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000008,London,E09000002,Barking and Dagenham,588,8,8,10,10,10,100,100,100,100,9,10,10,10,10,100,100,100,100,9,10,10,10,10,100,100,100,100
E01000009,London,E09000002,Barking and Dagenham,720,2,10,10,10,10,100,100,100,100,6,10,10,10,10,100,100,100,100,6,10,10,10,10,100,100,100,100
E01000010,London,E09000002,Barking and Dagenham,"1,027",2,10,10,10,10,100,100,100,100,6,10,10,10,10,100,100,100,100,6,10,10,10,10,100,100,100,100
E01000011,London,E09000002,Barking and Dagenham,516,5,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000012,London,E09000002,Barking and Dagenham,788,6,7,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000013,London,E09000002,Barking and Dagenham,733,6,6,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000014,London,E09000002,Barking and Dagenham,720,7,5,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000015,London,E09000002,Barking and Dagenham,943,9,7,10,10,10,100,100,100,100,8,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000016,London,E09000002,Barking and Dagenham,706,5,8,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,6,10,10,10,10,100,100,100,100
E01000017,London,E09000002,Barking and Dagenham,687,5,9,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000018,London,E09000002,Barking and Dagenham,691,8,6,10,10,10,100,100,100,100,8,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000019,London,E09000002,Barking and Dagenham,569,4,9,10,10,10,100,100,100,100,6,10,10,10,10,100,100,100,100,6,10,10,10,10,100,100,100,100
E01000020,London,E09000002,Barking and Dagenham,733,3,9,10,10,10,100,100,100,100,6,10,10,10,10,100,100,100,100,6,10,10,10,10,100,100,100,100
E01000021,London,E09000002,Barking and Dagenham,669,3,8,10,10,10,100,100,100,100,6,10,10,10,10,100,100,100,100,6,10,10,10,10,100,100,100,100
E01000022,London,E09000002,Barking and Dagenham,535,5,8,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000023,London,E09000002,Barking and Dagenham,564,5,8,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,6,10,10,10,10,100,100,100,100
E01000024,London,E09000002,Barking and Dagenham,515,8,8,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000025,London,E09000002,Barking and Dagenham,710,7,7,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000027,London,E09000002,Barking and Dagenham,723,8,2,10,10,10,100,100,100,100,7,7,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000028,London,E09000002,Barking and Dagenham,691,7,3,10,10,10,100,100,100,100,7,6,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000029,London,E09000002,Barking and Dagenham,779,4,5,10,10,10,100,100,100,100,7,9,10,10,10,100,100,100,100,8,10,10,10,10,100,100,100,100
E01000030,London,E09000002,Barking and Dagenham,869,4,4,10,10,10,100,100,100,100,6,10,10,10,10,100,100,100,100,6,10,10,10,10,100,100,100,100
E01000031,London,E09000002,Barking and Dagenham,675,8,6,10,10,10,100,100,100,100,8,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000032,London,E09000002,Barking and Dagenham,712,5,6,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,6,10,10,10,10,100,100,100,100
E01000033,London,E09000002,Barking and Dagenham,601,7,3,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000034,London,E09000002,Barking and Dagenham,583,8,4,10,10,10,100,100,100,100,8,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000035,London,E09000002,Barking and Dagenham,640,6,8,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000036,London,E09000002,Barking and Dagenham,529,8,8,10,10,10,100,100,100,100,8,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000037,London,E09000002,Barking and Dagenham,653,7,6,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000038,London,E09000002,Barking and Dagenham,635,3,7,10,10,10,100,100,100,100,6,10,10,10,10,100,100,100,100,6,10,10,10,10,100,100,100,100
E01000039,London,E09000002,Barking and Dagenham,744,9,3,10,10,10,100,100,100,100,9,9,10,10,10,100,100,100,100,8,10,10,10,10,100,100,100,100
E01000040,London,E09000002,Barking and Dagenham,722,4,8,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,6,10,10,10,10,100,100,100,100
E01000041,London,E09000002,Barking and Dagenham,685,7,6,10,10,10,100,100,100,100,8,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000042,London,E09000002,Barking and Dagenham,766,9,7,10,10,10,100,100,100,100,9,10,10,10,10,100,100,100,100,8,10,10,10,10,100,100,100,100
E01000043,London,E09000002,Barking and Dagenham,520,6,5,10,10,10,100,100,100,100,8,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000044,London,E09000002,Barking and Dagenham,710,5,6,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000045,London,E09000002,Barking and Dagenham,679,3,7,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,6,10,10,10,10,100,100,100,100
E01000046,London,E09000002,Barking and Dagenham,738,8,4,10,10,10,100,100,100,100,8,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000048,London,E09000002,Barking and Dagenham,727,7,7,10,10,10,100,100,100,100,8,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000049,London,E09000002,Barking and Dagenham,726,5,7,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000050,London,E09000002,Barking and Dagenham,694,5,9,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000051,London,E09000002,Barking and Dagenham,818,4,9,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000052,London,E09000002,Barking and Dagenham,868,4,8,10,10,10,100,100,100,100,6,10,10,10,10,100,100,100,100,6,10,10,10,10,100,100,100,100
E01000053,London,E09000002,Barking and Dagenham,728,5,6,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,6,10,10,10,10,100,100,100,100
E01000054,London,E09000002,Barking and Dagenham,720,8,3,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000055,London,E09000002,Barking and Dagenham,632,7,4,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000056,London,E09000002,Barking and Dagenham,647,9,4,10,10,10,100,100,100,100,8,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000057,London,E09000002,Barking and Dagenham,606,4,5,10,10,10,100,100,100,100,6,10,10,10,10,100,100,100,100,6,10,10,10,10,100,100,100,100
E01000058,London,E09000002,Barking and Dagenham,733,9,3,10,10,10,100,100,100,100,8,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000059,London,E09000002,Barking and Dagenham,652,8,5,10,10,10,100,100,100,100,8,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000060,London,E09000002,Barking and Dagenham,869,4,7,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,6,10,10,10,10,100,100,100,100
E01000061,London,E09000002,Barking and Dagenham,754,6,8,10,10,10,100,100,100,100,9,10,10,10,10,100,100,100,100,9,10,10,10,10,100,100,100,100
E01000062,London,E09000002,Barking and Dagenham,859,4,6,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000063,London,E09000002,Barking and Dagenham,717,5,8,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,6,10,10,10,10,100,100,100,100
E01000064,London,E09000002,Barking and Dagenham,800,6,4,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000065,London,E09000002,Barking and Dagenham,873,5,8,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000066,London,E09000002,Barking and Dagenham,771,11,3,10,10,10,100,100,100,100,9,10,10,10,10,100,100,100,100,8,10,10,10,10,100,100,100,100
E01000067,London,E09000002,Barking and Dagenham,766,7,3,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000068,London,E09000002,Barking and Dagenham,521,9,5,10,10,10,100,100,100,100,8,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000069,London,E09000002,Barking and Dagenham,579,8,3,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
E01000070,London,E09000002,Barking and Dagenham,675,5,6,10,10,10,100,100,100,100,6,10,10,10,10,100,100,100,100,6,10,10,10,10,100,100,100,100
E01000071,London,E09000002,Barking and Dagenham,886,12,3,10,10,10,100,100,100,100,9,10,10,10,10,100,100,100,100,8,10,10,10,10,100,100,100,100
E01000072,London,E09000002,Barking and Dagenham,921,4,7,10,10,10,100,100,100,100,6,10,10,10,10,100,100,100,100,6,10,10,10,10,100,100,100,100
E01000073,London,E09000002,Barking and Dagenham,708,8,5,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100
