LSOA,Stage1,Stage2,Stage3,OnlineGroup_1,OnlineGroup_2,OnlineGroup_3,OnlineGroup_4,OnlineGroup_5,OnlineGroup_6,OnlineGroup_7,OnlineGroup_8,OnlineGroup_9,OnlineGroup_10,K-means,Kmeans
E01000001,-1.829785066,1.250612727,-1.350270407,0,0,1,0,0,0,0,0,0,0,6,7
E01000002,-1.401524194,1.092804337,-0.850411993,0,1,0,0,0,0,0,0,0,0,6,7
E01000003,-0.609738863,0.949101167,-1.151095108,0,0,0,1,0,0,0,0,0,0,6,7
E01000005,-1.806414588,1.183587927,-0.978981988,0,0,0,0,0,0,0,1,0,0,6,7
E01000006,0.625838051,-0.235987315,0.855740921,0,0,0,1,0,0,0,0,0,0,2,3
E01000007,-0.328585079,0.417004292,1.191078223,0,0,0,1,0,0,0,0,0,0,2,3
E01000008,-0.271312852,0.074827686,0.596126068,0,0,0,0,0,0,1,0,0,0,1,2
E01000009,-0.176636987,0.272100677,-0.270655954,0,0,0,0,0,0,1,0,0,0,1,2
E01000010,-1.394278361,0.868971519,-0.018627038,0,0,0,1,0,0,0,0,0,0,6,7
E01000011,0.399808075,-0.02645979,0.683206245,0,0,0,1,0,0,0,0,0,0,2,3
E01000012,-0.032792882,-0.124996249,1.36752791,0,0,0,1,0,0,0,0,0,0,2,3
E01000013,0.273228489,0.121845082,0.356156846,0,0,0,0,0,0,1,0,0,0,1,2
E01000014,0.397178743,-0.182167402,0.546142636,0,0,0,0,0,0,1,0,0,0,1,2
E01000015,0.22105517,-0.280353731,0.677375097,0,0,0,0,0,0,1,0,0,0,1,2
E01000016,0.508396671,-0.044316397,0.539891941,0,0,0,0,0,0,1,0,0,0,1,2
E01000017,0.353967629,-0.180166662,0.719040375,0,0,0,0,0,0,1,0,0,0,1,2
E01000018,0.447379349,-0.271150326,0.682812931,0,0,0,0,0,0,1,0,0,0,1,2
E01000019,0.171465823,-0.131098507,0.66039191,0,0,0,0,0,0,1,0,0,0,1,2
E01000020,0.422684841,-0.008753239,0.406594074,0,0,0,0,0,0,1,0,0,0,1,2
E01000021,0.308005103,-0.016456089,0.365059894,0,0,0,0,0,0,1,0,0,0,1,2
E01000022,0.403428865,-0.165461221,0.742760378,0,0,0,0,0,1,0,0,0,0,4,5
E01000023,0.295968236,0.127897322,1.10520018,0,0,0,0,0,1,0,0,0,0,4,5
E01000024,0.428227138,-0.231635705,0.852080066,0,0,0,0,0,0,1,0,0,0,1,2
E01000025,0.524695724,-0.242339666,0.742538504,0,0,0,0,0,0,1,0,0,0,1,2
E01000027,0.313914324,-0.293408562,0.582610105,0,0,0,0,0,0,1,0,0,0,1,2
E01000028,0.17809526,-0.266848734,0.589391283,0,0,0,0,0,0,1,0,0,0,1,2
E01000029,0.085661618,-0.220581615,-0.005560872,0,0,0,0,0,0,1,0,0,0,1,2
E01000030,-0.049222692,0.076678371,0.316095076,0,0,0,0,0,0,1,0,0,0,1,2
E01000031,0.198693001,-0.26129668,-0.103603496,0,0,0,0,0,1,0,0,0,0,4,5
E01000032,0.742928952,0.066524614,0.153800721,0,0,0,0,0,0,1,0,0,0,1,2
E01000033,0.279627777,-0.213028821,0.666519567,0,0,0,0,0,0,1,0,0,0,1,2
E01000034,0.196832824,-0.241889499,-0.085262855,0,0,0,0,0,0,1,0,0,0,1,2
E01000035,-0.798950552,0.054370117,-0.133921115,0,0,0,0,0,0,1,0,0,0,1,2
E01000036,0.665783483,-0.15845863,-0.039797543,0,0,0,0,0,1,0,0,0,0,4,5
E01000037,0.200722991,-0.239388574,-0.0953842,0,0,0,0,0,1,0,0,0,0,4,5
E01000038,-0.168110228,0.0937847,-0.334423595,0,0,0,0,0,0,1,0,0,0,1,2
E01000039,0.351750294,-0.318217741,0.36208279,0,0,0,0,0,1,0,0,0,0,4,5
E01000040,0.263033372,-0.163710573,0.638003129,0,0,0,0,0,0,1,0,0,0,1,2
E01000041,0.477427379,-0.255544552,0.807522389,0,0,0,0,0,0,1,0,0,0,1,2
E01000042,0.02397506,-0.140952152,0.628737019,0,0,0,0,0,0,1,0,0,0,1,2
E01000043,0.218270131,-0.223082541,0.098290709,0,0,0,0,0,0,1,0,0,0,1,2
E01000044,0.308613816,-0.215929894,0.781464693,0,0,0,0,0,0,1,0,0,0,1,2
E01000045,0.161686241,-0.123545712,0.393584392,0,0,0,0,0,0,1,0,0,0,1,2
E01000046,0.185296924,-0.252893571,0.72870183,0,0,0,0,0,0,1,0,0,0,1,2
E01000048,-0.215221127,0.053019617,1.118538632,0,0,0,0,0,0,1,0,0,0,1,2
E01000049,-0.136772164,-0.079079259,0.627367464,0,0,0,0,0,0,1,0,0,0,1,2
E01000050,0.425218586,0.032612066,1.19928946,0,0,0,0,0,0,1,0,0,0,1,2
E01000051,-0.222509939,0.374588598,1.16115999,0,0,0,0,0,0,1,0,0,0,1,2
E01000052,0.384601437,-0.070276002,0.646799302,0,0,0,0,0,0,1,0,0,0,1,2
E01000053,0.423169651,0.061322689,0.359414296,0,0,0,0,0,0,1,0,0,0,1,2
E01000054,0.381635414,-0.242789833,0.713314091,0,0,0,0,0,0,1,0,0,0,1,2
E01000055,0.351912854,-0.264948031,0.688666293,0,0,0,0,0,0,1,0,0,0,1,2
E01000056,0.262617259,-0.299660875,0.629447002,0,0,0,0,0,0,1,0,0,0,1,2
E01000057,0.058179878,0.088682813,0.342689285,0,0,0,0,0,0,1,0,0,0,1,2
E01000058,0.233313841,-0.228584577,0.697111504,0,0,0,0,0,0,1,0,0,0,1,2
E01000059,0.121701338,-0.279803528,0.560560206,0,0,0,0,0,0,1,0,0,0,1,2
E01000060,0.39849401,-0.003951462,0.646186123,0,0,0,0,0,0,1,0,0,0,1,2
E01000061,-1.356790399,0.506087252,0.329661452,0,0,0,0,0,0,1,0,0,0,1,2
E01000062,0.498235939,0.008453127,0.521270954,0,0,0,0,0,0,1,0,0,0,1,2
E01000063,0.404582135,-0.011354201,0.531965113,0,0,0,0,0,0,1,0,0,0,1,2
E01000064,-0.118038493,-0.199473806,0.518330152,0,0,0,0,0,0,1,0,0,0,1,2
