Ii,E.Ii,Var.Ii,Z.Ii,Pr(z > 0)
0.17825851,-0.03125,0.203297445,0.46466045,0.321087318
0.032616341,-0.03125,0.203297445,0.141646575,0.443679588
0.447283156,-0.03125,0.127166882,1.341915048,0.089811771
0.349949627,-0.03125,0.203297445,0.845447232,0.198930592
0.082447486,-0.03125,0.157619107,0.28638247,0.3872926
-0.190048495,-0.03125,0.431689136,-0.241691192,0.595490272
0.132498816,-0.03125,0.279428009,0.309772742,0.378366891
0.046672358,-0.03125,0.203297445,0.172820845,0.431396126
0.060032714,-0.03125,0.105415292,0.281149126,0.389298012
-0.071848377,-0.03125,0.157619107,-0.102259637,0.540724704
0.166080242,-0.03125,0.157619107,0.49703757,0.309581279
-0.32698816,-0.03125,0.279428009,-0.559464325,0.712077564
0.440634332,-0.03125,0.279428009,0.892689836,0.186011647
1.227094988,-0.03125,0.279428009,2.380481198,0.008645022
1.290201439,-0.03125,0.431689136,2.011248109,0.022149628
0.068820046,-0.03125,0.279428009,0.189308072,0.424925684
0.037068017,-0.03125,0.157619107,0.172080167,0.431687252
-0.083909975,-0.03125,0.203297445,-0.116792429,0.546487728
-1.034247972,-0.03125,0.279428009,-1.897427046,0.971114201
0.722979363,-0.03125,0.279428009,1.426817633,0.076816234
0.146591445,-0.03125,0.157619107,0.447948975,0.327095011
0.450945036,-0.03125,0.203297445,1.069440862,0.142435531
0.026629527,-0.03125,0.203297445,0.128368662,0.448928615
0.216731853,-0.03125,0.279428009,0.469121063,0.319491552
1.578243696,-0.03125,0.203297445,3.569630956,0.000178742
0.89020715,-0.03125,0.127166882,2.583973962,0.004883458
3.178751005,-0.03125,0.279428009,6.072537429,6.30E-10
0.462509349,-0.03125,0.203297445,1.095088886,0.136738849
-0.385986185,-0.03125,0.127166882,-0.994760381,0.84007359
-0.009093348,-0.03125,0.127166882,0.062132256,0.475228755
0.210261298,-0.03125,0.157619107,0.608321297,0.271487199
-0.072131782,-0.03125,0.279428009,-0.07733834,0.530822804
3.118004681,-0.03125,0.157619107,7.932377095,1.07E-15
