LSOA_code,FoodPTt,FoodPT15n,FoodPT30n,FoodPT15pct,FoodCyct,FoodCyc15n,FoodCart,FoodCar15n
E01000001,3,10,10,100,6,10,7,10
E01000002,4,10,10,100,7,10,8,10
E01000003,4,10,10,100,6,10,7,10
E01000005,2,10,10,100,6,10,6,10
E01000006,7,8,10,100,7,10,7,10
E01000007,4,9,10,100,7,10,7,10
E01000008,8,8,10,100,9,10,9,10
E01000009,2,10,10,100,6,10,6,10
E01000010,2,10,10,100,6,10,6,10
E01000011,5,10,10,100,7,10,7,10
E01000012,6,7,10,100,7,10,7,10
E01000013,6,6,10,100,7,10,7,10
E01000014,7,5,10,100,7,10,7,10
E01000015,9,7,10,100,8,10,7,10
E01000016,5,8,10,100,7,10,6,10
E01000017,5,9,10,100,7,10,7,10
E01000018,8,6,10,100,8,10,7,10
E01000019,4,9,10,100,6,10,6,10
E01000020,3,9,10,100,6,10,6,10
E01000021,3,8,10,100,6,10,6,10
E01000022,5,8,10,100,7,10,7,10
E01000023,5,8,10,100,7,10,6,10
E01000024,8,8,10,100,7,10,7,10
E01000025,7,7,10,100,7,10,7,10
E01000027,8,2,10,100,7,7,7,10
E01000028,7,3,10,100,7,6,7,10
E01000029,4,5,10,100,7,9,8,10
E01000030,4,4,10,100,6,10,6,10
E01000031,8,6,10,100,8,10,7,10
E01000032,5,6,10,100,7,10,6,10
E01000033,7,3,10,100,7,10,7,10
E01000034,8,4,10,100,8,10,7,10
E01000035,6,8,10,100,7,10,7,10
E01000036,8,8,10,100,8,10,7,10
E01000037,7,6,10,100,7,10,7,10
E01000038,3,7,10,100,6,10,6,10
E01000039,9,3,10,100,9,9,8,10
E01000040,4,8,10,100,7,10,6,10
E01000041,7,6,10,100,8,10,7,10
E01000042,9,7,10,100,9,10,8,10
E01000043,6,5,10,100,8,10,7,10
E01000044,5,6,10,100,7,10,7,10
E01000045,3,7,10,100,7,10,6,10
E01000046,8,4,10,100,8,10,7,10
E01000048,7,7,10,100,8,10,7,10
E01000049,5,7,10,100,7,10,7,10
E01000050,5,9,10,100,7,10,7,10
E01000051,4,9,10,100,7,10,7,10
E01000052,4,8,10,100,6,10,6,10
E01000053,5,6,10,100,7,10,6,10
E01000054,8,3,10,100,7,10,7,10
E01000055,7,4,10,100,7,10,7,10
E01000056,9,4,10,100,8,10,7,10
E01000057,4,5,10,100,6,10,6,10
E01000058,9,3,10,100,8,10,7,10
E01000059,8,5,10,100,8,10,7,10
E01000060,4,7,10,100,7,10,6,10
E01000061,6,8,10,100,9,10,9,10
E01000062,4,6,10,100,7,10,7,10
E01000063,5,8,10,100,7,10,6,10
E01000064,6,4,10,100,7,10,7,10
E01000065,5,8,10,100,7,10,7,10
E01000066,11,3,10,100,9,10,8,10
E01000067,7,3,10,100,7,10,7,10
