objectid,lsoa11cd,lsoa11nm,Borough,All Ages,HubName,HubDist,NUMPOINTS(,NUMPOINT_1,NUMPOINT_2
19645,E01003817,Richmond upon Thames 012D,Richmond upon Thames,2100 ,1010013887,196.4958195,1,1,8
19655,E01003891,Richmond upon Thames 018D,Richmond upon Thames,1801 ,1010014001,331.6967274,3,5,14
19992,E01002976,Kingston upon Thames 015A,Kingston upon Thames,1707 ,1010010902,779.6475266,0,3,10
19993,E01002977,Kingston upon Thames 012B,Kingston upon Thames,1747 ,1010013743,267.6923837,2,2,11
19994,E01002974,Kingston upon Thames 005E,Kingston upon Thames,2085 ,1010003596,306.0753711,2,4,14
19995,E01002975,Kingston upon Thames 012A,Kingston upon Thames,1511 ,1010013743,364.4770075,1,2,13
19996,E01002972,Kingston upon Thames 005D,Kingston upon Thames,2359 ,1010001008,99.27425851,1,9,14
19997,E01002973,Kingston upon Thames 006E,Kingston upon Thames,1553 ,1010005096,369.3088175,3,4,15
19998,E01002970,Kingston upon Thames 006D,Kingston upon Thames,1760 ,1010016992,142.4976256,1,5,16
19999,E01002971,Kingston upon Thames 005C,Kingston upon Thames,2074 ,1010001008,442.6350868,1,8,17
20000,E01002978,Kingston upon Thames 015B,Kingston upon Thames,1899 ,1010005104,387.934018,1,4,6
20001,E01002979,Kingston upon Thames 015C,Kingston upon Thames,1549 ,1010013743,525.7746263,0,2,8
20283,E01003463,Merton 010E,Merton,1415 ,1010006803,1143.369499,0,0,9
20295,E01003469,Merton 020D,Merton,1497 ,1010015832,171.4213587,1,3,11
20590,E01003006,Kingston upon Thames 001A,Kingston upon Thames,1506 ,1010013887,244.7938778,1,1,9
20592,E01003007,Kingston upon Thames 001B,Kingston upon Thames,1556 ,1010013887,511.2191806,0,1,8
20595,E01003005,Kingston upon Thames 018E,Kingston upon Thames,1561 ,1010016102,285.5108319,1,6,13
20597,E01003002,Kingston upon Thames 016E,Kingston upon Thames,2017 ,1010005105,132.7993286,1,2,17
20599,E01003003,Kingston upon Thames 017E,Kingston upon Thames,1776 ,1010003599,306.7719318,4,5,14
20601,E01003000,Kingston upon Thames 017C,Kingston upon Thames,1711 ,1010003599,772.9378586,0,6,12
20603,E01003001,Kingston upon Thames 017D,Kingston upon Thames,1900 ,1010010903,505.7854472,0,4,13
20605,E01003008,Kingston upon Thames 001C,Kingston upon Thames,1488 ,1010008123,781.6997755,0,2,13
20607,E01003009,Kingston upon Thames 001D,Kingston upon Thames,2189 ,1010008123,665.7206789,0,1,11
20696,E01004117,Sutton 006A,Sutton,1377 ,1010003597,871.8673671,0,2,7
20701,E01004195,Sutton 006E,Sutton,1786 ,1010003597,310.0593247,3,3,8
21077,E01002956,Kingston upon Thames 002D,Kingston upon Thames,2219 ,1010000818,1674.627977,0,0,2
21078,E01002957,Kingston upon Thames 003E,Kingston upon Thames,2002 ,1010003596,1021.143162,0,0,8
21079,E01002954,Kingston upon Thames 003D,Kingston upon Thames,1471 ,1010003596,242.8337052,1,4,13
21080,E01002955,Kingston upon Thames 002C,Kingston upon Thames,1601 ,1010000818,1109.850135,0,0,2
21081,E01002952,Kingston upon Thames 002A,Kingston upon Thames,1668 ,1010005096,1099.859994,0,0,8
21082,E01002953,Kingston upon Thames 002B,Kingston upon Thames,1615 ,1010005103,1397.761543,0,0,9
21083,E01002950,Kingston upon Thames 020E,Kingston upon Thames,1662 ,1010007169,608.2126993,0,2,6
21084,E01002951,Kingston upon Thames 003C,Kingston upon Thames,1813 ,1010003596,689.8448053,0,2,12
21085,E01002958,Kingston upon Thames 008C,Kingston upon Thames,1788 ,1010010558,454.4135971,1,5,10
21086,E01002959,Kingston upon Thames 002E,Kingston upon Thames,1409 ,1010005096,617.6407484,0,2,9
21088,E01003447,Merton 016D,Merton,1603 ,1010006216,488.2117461,2,5,12
21090,E01003445,Merton 010D,Merton,1715 ,1010006803,602.7321631,0,3,11
21373,E01003820,Richmond upon Thames 017C,Richmond upon Thames,2072 ,1010005817,592.8496318,0,3,10
21414,E01002997,Kingston upon Thames 016C,Kingston upon Thames,1622 ,1010014593,310.6384747,1,5,15
21415,E01002916,Kingston upon Thames 014B,Kingston upon Thames,1477 ,1010006003,440.5972243,1,5,13
21417,E01002996,Kingston upon Thames 016B,Kingston upon Thames,1535 ,1010014593,319.7392472,2,6,13
21418,E01002917,Kingston upon Thames 014C,Kingston upon Thames,1477 ,1010001989,857.4454291,0,4,11
21419,E01002995,Kingston upon Thames 013D,Kingston upon Thames,1620 ,1010003598,642.7108321,1,6,14
21421,E01002994,Kingston upon Thames 016A,Kingston upon Thames,1571 ,1010005105,551.2692253,0,3,16
21422,E01002915,Kingston upon Thames 014A,Kingston upon Thames,1381 ,1010001989,759.6171273,0,4,8
21423,E01002993,Kingston upon Thames 013C,Kingston upon Thames,1653 ,1010003035,305.5402037,2,5,12
21425,E01002992,Kingston upon Thames 010D,Kingston upon Thames,2829 ,1010015677,460.0128068,1,5,21
21427,E01002991,Kingston upon Thames 009E,Kingston upon Thames,1607 ,1010015677,284.8476006,1,5,20
21429,E01002990,Kingston upon Thames 009D,Kingston upon Thames,1748 ,1010006684,436.1154187,1,7,16
21431,E01002999,Kingston upon Thames 013E,Kingston upon Thames,1477 ,1010010582,265.1506531,3,6,13
21432,E01002918,Kingston upon Thames 017A,Kingston upon Thames,1839 ,1010001989,594.3107113,0,4,8
21433,E01002998,Kingston upon Thames 016D,Kingston upon Thames,1653 ,1010003599,458.8776511,1,6,16
21434,E01002919,Kingston upon Thames 017B,Kingston upon Thames,2103 ,1010001989,182.3527147,3,4,10
21563,E01004121,Sutton 006B,Sutton,1649 ,1010006683,229.1219563,3,3,7
