LSOA Code,0-15,16-29,30-44,45-64,65+
E01000001,258 ,170 ,302 ,455 ,451 
E01000002,243 ,233 ,258 ,453 ,371 
E01000003,275 ,228 ,336 ,536 ,411 
E01000005,396 ,728 ,242 ,329 ,193 
E01032739,187 ,424 ,408 ,293 ,63 
E01032740,135 ,445 ,294 ,451 ,153 
E01000006,527 ,379 ,614 ,391 ,183 
E01000007,722 ,537 ,730 ,421 ,92 
E01000008,510 ,309 ,402 ,325 ,51 
E01000009,423 ,343 ,631 ,373 ,159 
E01000010,979 ,722 ,1305 ,468 ,105 
E01000011,433 ,315 ,494 ,336 ,148 
E01000012,791 ,394 ,746 ,313 ,99 
E01000013,487 ,344 ,407 ,441 ,176 
E01000014,416 ,296 ,376 ,407 ,166 
E01000015,689 ,476 ,570 ,543 ,174 
E01000016,437 ,323 ,368 ,432 ,164 
E01000017,415 ,248 ,337 ,389 ,149 
E01000018,424 ,299 ,428 ,405 ,162 
E01000019,465 ,249 ,364 ,349 ,136 
E01000020,463 ,322 ,455 ,453 ,237 
E01000021,494 ,329 ,385 ,394 ,154 
E01000022,396 ,259 ,306 ,344 ,128 
E01000023,1155 ,777 ,1165 ,597 ,159 
E01000024,458 ,232 ,358 ,362 ,136 
E01000025,446 ,280 ,386 ,414 ,150 
E01000027,502 ,317 ,405 ,412 ,210 
E01000028,482 ,343 ,333 ,360 ,211 
E01000029,394 ,251 ,346 ,379 ,394 
E01000030,754 ,426 ,565 ,457 ,194 
E01000031,383 ,347 ,397 ,408 ,275 
E01000032,444 ,324 ,438 ,424 ,249 
E01000033,449 ,286 ,321 ,354 ,188 
E01000034,327 ,320 ,260 ,416 ,317 
E01000035,392 ,394 ,390 ,433 ,232 
E01000036,317 ,321 ,300 ,373 ,147 
E01000037,323 ,513 ,325 ,506 ,245 
E01000038,308 ,249 ,254 ,368 ,246 
E01000039,422 ,273 ,371 ,401 ,243 
E01000040,456 ,300 ,436 ,391 ,210 
E01000041,515 ,303 ,445 ,393 ,162 
E01000042,601 ,370 ,522 ,384 ,124 
E01000043,323 ,323 ,351 ,347 ,174 
E01000044,517 ,403 ,497 ,423 ,152 
E01000045,510 ,340 ,408 ,389 ,155 
E01000046,538 ,363 ,424 ,413 ,162 
E01000048,364 ,228 ,238 ,183 ,31 
E01000049,708 ,303 ,440 ,388 ,82 
E01000050,604 ,362 ,476 ,349 ,175 
E01000051,323 ,189 ,253 ,153 ,45 
E01000052,633 ,383 ,577 ,465 ,200 
E01000053,382 ,296 ,361 ,365 ,200 
E01000054,559 ,324 ,440 ,413 ,215 
E01000055,431 ,339 ,349 ,412 ,176 
E01000056,456 ,317 ,342 ,379 ,181 
E01000057,396 ,299 ,386 ,304 ,151 
E01000058,520 ,334 ,540 ,447 ,149 
E01000059,424 ,257 ,326 ,400 ,242 
E01000060,534 ,354 ,403 ,480 ,228 
E01000061,616 ,396 ,410 ,346 ,101 
E01000062,595 ,443 ,509 ,561 ,270 
E01000063,488 ,340 ,405 ,419 ,191 
E01000064,581 ,401 ,448 ,490 ,284 
E01000065,410 ,303 ,385 ,414 ,267 
E01000066,599 ,505 ,517 ,482 ,201 
E01000067,532 ,505 ,462 ,478 ,245 
E01000068,281 ,404 ,344 ,356 ,149 
E01000069,456 ,424 ,433 ,402 ,223 
E01000070,508 ,453 ,528 ,430 ,271 
E01000071,650 ,553 ,639 ,516 ,279 
E01000072,596 ,431 ,484 ,407 ,210 
E01000073,505 ,312 ,403 ,385 ,186 
E01000074,462 ,283 ,368 ,370 ,144 
E01000075,463 ,379 ,409 ,429 ,203 
E01000076,666 ,343 ,447 ,446 ,209 
E01000077,451 ,251 ,355 ,362 ,146 
E01000078,534 ,355 ,387 ,438 ,178 
E01000079,498 ,266 ,389 ,397 ,222 
E01000080,456 ,263 ,359 ,395 ,139 
E01000081,464 ,317 ,387 ,485 ,193 
E01000082,543 ,356 ,496 ,488 ,196 
E01000083,544 ,357 ,454 ,403 ,179 
E01000084,352 ,240 ,329 ,350 ,155 
E01000085,544 ,351 ,398 ,396 ,200 
E01000086,413 ,254 ,337 ,333 ,132 
E01000087,418 ,290 ,348 ,377 ,187 
E01000088,605 ,399 ,424 ,436 ,241 
E01000089,592 ,361 ,380 ,410 ,143 
E01000090,475 ,322 ,359 ,430 ,143 
E01000091,713 ,407 ,447 ,400 ,138 
E01000092,1779 ,1227 ,1541 ,1028 ,245 
E01000093,511 ,377 ,428 ,360 ,121 
E01000094,791 ,349 ,664 ,418 ,72 
E01000095,561 ,369 ,412 ,381 ,128 
E01000096,613 ,380 ,388 ,352 ,95 
E01000097,474 ,298 ,426 ,391 ,254 
E01000098,507 ,335 ,386 ,438 ,158 
E01000099,708 ,395 ,677 ,523 ,171 
E01000100,453 ,353 ,379 ,424 ,155 
E01000101,433 ,270 ,391 ,371 ,155 
E01000102,432 ,248 ,330 ,329 ,178 
E01000103,421 ,399 ,320 ,394 ,155 
E01000104,587 ,428 ,419 ,423 ,153 
E01000105,588 ,396 ,546 ,540 ,229 
E01000106,634 ,375 ,510 ,453 ,220 
E01000107,435 ,296 ,410 ,384 ,278 
E01000108,522 ,333 ,439 ,407 ,191 
E01000109,805 ,464 ,744 ,538 ,217 
E01000110,329 ,274 ,327 ,352 ,182 
E01000111,521 ,373 ,459 ,477 ,222 
E01000112,493 ,418 ,601 ,445 ,207 
E01000113,452 ,289 ,458 ,433 ,173 
E01000114,717 ,447 ,577 ,490 ,206 
E01032580,440 ,274 ,387 ,276 ,127 
E01033587,809 ,462 ,854 ,405 ,81 
E01033588,535 ,265 ,465 ,290 ,89 
E01000115,228 ,219 ,183 ,435 ,288 
E01000116,404 ,243 ,351 ,448 ,298 
E01000117,322 ,236 ,327 ,504 ,391 
E01000118,443 ,314 ,446 ,586 ,346 
E01000119,309 ,262 ,290 ,523 ,343 
E01000120,304 ,211 ,213 ,468 ,290 
E01000121,324 ,244 ,247 ,430 ,218 
E01000122,331 ,210 ,268 ,425 ,227 
E01000123,337 ,258 ,442 ,486 ,223 
E01000124,360 ,332 ,495 ,404 ,188 
E01000125,796 ,621 ,811 ,686 ,368 
E01000126,514 ,442 ,520 ,607 ,177 
E01000127,368 ,257 ,366 ,433 ,148 
E01000128,453 ,354 ,425 ,513 ,216 
E01000129,431 ,274 ,450 ,474 ,211 
E01000130,474 ,284 ,395 ,535 ,166 
E01000131,430 ,358 ,511 ,438 ,258 
E01000132,368 ,309 ,326 ,409 ,127 
E01000133,409 ,245 ,376 ,465 ,185 
E01000134,392 ,341 ,415 ,435 ,189 
E01000135,315 ,309 ,378 ,392 ,351 
E01000136,314 ,263 ,264 ,431 ,346 
E01000137,365 ,309 ,392 ,407 ,209 
E01000138,298 ,271 ,344 ,420 ,227 
E01000139,246 ,306 ,414 ,393 ,241 
E01000140,386 ,447 ,681 ,388 ,241 
E01000141,366 ,630 ,618 ,523 ,166 
E01000142,526 ,488 ,752 ,652 ,288 
E01000143,308 ,374 ,333 ,337 ,150 
E01000144,302 ,341 ,552 ,413 ,178 
E01000145,436 ,275 ,391 ,334 ,280 
E01000146,423 ,377 ,703 ,414 ,224 
E01000147,354 ,354 ,443 ,478 ,270 
E01000148,846 ,584 ,861 ,647 ,259 
E01000150,463 ,371 ,554 ,584 ,289 
E01000151,559 ,331 ,423 ,370 ,107 
E01000152,565 ,363 ,472 ,395 ,95 
E01000153,429 ,302 ,423 ,448 ,209 
E01000154,425 ,285 ,463 ,389 ,163 
