LSOA11CD,"(0, '15,069 < 30,138 ft2 (1,400 < 2,800 m2)')","(0, '3,013 < 15,069 ft2 (280 < 1,400 m2)')","(0, '30,138 ft2 > (2,800 m2)')","(0, '< 3,013 ft2 (280m2)')",FoodPTt,FoodPT15n,FoodPT30n,FoodPT15pct,FoodCyct,FoodCyc15n,FoodCart,FoodCar15n,PointsDens,0-18,19-34,35-49,50-64,65+,Cars: No cars or vans in household; measures: Value,Cars: 1 car or van in household; measures: Value,Cars: 2 cars or vans in household; measures: Value,Cars: 3 cars or vans in household; measures: Value,Cars: 4 or more cars or vans in household; measures: Value,WA_HubDist,WA_NUMPOINTS(500m),WA_NUMPOINTS(1km),WA_NUMPOINTS(2km),pop_den,employee/pop
E01000001,0,0,0,1,3,10,10,100,6,10,7,10,1.541,0.157701711,0.10391198,0.184596577,0.278117359,0.275672372,0.592465753,0.325342466,0.060502283,0.017123288,0.00456621,142.163,6,36,105,126.0400616,7.896699267
E01000002,0,0,0,0,4,10,10,100,7,10,8,10,0,0.155969191,0.149550706,0.165596919,0.290757381,0.238125802,0.579518072,0.353012048,0.045783133,0.015662651,0.006024096,300.088,5,37,103,68.21366025,19.17715019
E01000003,0,0,0,0,4,10,10,100,6,10,7,10,0,0.153975364,0.127659574,0.188129899,0.300111982,0.23012318,0.801713586,0.181150551,0.013463892,0.00244798,0.00122399,214.322,5,30,104,302.1996616,0.546472564
E01000005,0,0.25,0,0.75,2,10,10,100,6,10,6,10,2.11,0.209745763,0.38559322,0.128177966,0.174258475,0.102224576,0.762312634,0.214132762,0.019271949,0.004282655,0,63.98,8,29,82,99.57805907,10.00529661
E01000006,0,0,0,0,7,8,10,100,7,10,7,10,0,0.251671442,0.180993314,0.29321872,0.186723973,0.08739255,0.342541436,0.458563536,0.160220994,0.025782689,0.012891344,400.785,1,6,9,142.8376535,0.11938873
E01000007,0,0,0,0,4,9,10,100,7,10,7,10,0,0.288569145,0.214628297,0.291766587,0.168265388,0.036770584,0.629084967,0.302287582,0.062091503,0.004901961,0.001633987,378.573,4,6,12,125.1,0.644284572
E01000008,0,0,0,0,8,8,10,100,9,10,9,10,0,0.319348779,0.19348779,0.251721979,0.203506575,0.031934878,0.585412668,0.333973129,0.065259117,0.007677543,0.007677543,501.139,0,6,17,81.85545874,0.683782091
E01000009,0,0,0,1,2,10,10,100,6,10,6,10,0.782,0.219284603,0.177812338,0.327112494,0.193364438,0.082426128,0.526645768,0.371473354,0.078369906,0.018808777,0.004702194,91.556,2,6,8,150.8209539,0.288750648
E01000010,0,0.5,0.25,0.25,2,10,10,100,6,10,6,10,1.136,0.273540095,0.201732327,0.364626991,0.130762783,0.029337804,0.741613781,0.22574796,0.029918404,0.002719855,0,79.441,5,6,16,101.6472593,1.169600447
E01000011,0,0,0,0,5,10,10,100,7,10,7,10,0,0.250869061,0.182502897,0.286210892,0.194669757,0.085747393,0.407002188,0.411378556,0.150984683,0.028446389,0.002188184,355.117,1,5,13,188.2224646,0.109501738
E01000012,0,0,0,0,6,7,10,100,7,10,7,10,0,0.337601366,0.168160478,0.31839522,0.133589415,0.042253521,0.528653295,0.404011461,0.058739255,0.004297994,0.004297994,677.863,0,6,17,168.5611511,0.104993598
E01000013,0,1,0,0,6,6,10,100,7,10,7,10,0.962,0.262533693,0.185444744,0.219407008,0.237735849,0.094878706,0.433846154,0.433846154,0.109230769,0.018461538,0.004615385,175.907,3,3,11,89.26852743,0.293800539
E01000014,0,0,0,0,7,5,10,100,7,10,7,10,0,0.250451535,0.1782059,0.226369657,0.245033113,0.099939795,0.358934169,0.47492163,0.130094044,0.029780564,0.006269592,443.374,3,3,12,48.68112544,0.114990969
