LSOA,OnlineGroup,K-means,Stage1,Stage2,Stage3
E01000001,3 ,6 ,-20.7496,-4.6203,0.2139
E01000002,2 ,6 ,-13.8895,-4.9071,0.2373
E01000003,4 ,6 ,-1.2063,-5.1683,0.2232
E01000005,8 ,6 ,-20.3753,-4.7421,0.2313
E01000006,4 ,2 ,18.5859,-7.3222,0.3171
E01000007,4 ,2 ,3.2974,-6.1354,0.3328
E01000008,7 ,1 ,4.2148,-6.7573,0.305
E01000009,7 ,1 ,5.7314,-6.3987,0.2644
E01000010,4 ,6 ,-13.7735,-5.3139,0.2762
E01000011,4 ,2 ,14.9652,-6.9414,0.309
E01000012,4 ,2 ,8.0356,-7.1205,0.3411
E01000013,7 ,1 ,12.9376,-6.6718,0.2937
E01000014,7 ,1 ,14.9231,-7.2244,0.3026
E01000015,7 ,1 ,12.1019,-7.4028,0.3088
E01000016,7 ,1 ,16.7047,-6.9738,0.3023
E01000017,7 ,1 ,14.2309,-7.2207,0.3107
E01000018,7 ,1 ,15.7273,-7.3861,0.309
E01000019,7 ,1 ,11.3075,-7.1315,0.308
E01000020,7 ,1 ,15.3317,-6.9092,0.2961
E01000021,7 ,1 ,13.4947,-6.9232,0.2942
E01000022,6 ,4 ,15.0232,-7.194,0.3118
E01000023,6 ,4 ,13.3019,-6.6608,0.3288
E01000024,7 ,1 ,15.4205,-7.3143,0.3169
E01000025,7 ,1 ,16.9658,-7.3337,0.3118
E01000027,7 ,1 ,13.5893,-7.4265,0.3043
E01000028,7 ,1 ,11.4137,-7.3783,0.3047
E01000029,7 ,1 ,9.9331,-7.2942,0.2768
E01000030,7 ,1 ,7.7724,-6.7539,0.2919
E01000031,6 ,4 ,11.7437,-7.3682,0.2722
E01000032,7 ,1 ,20.4615,-6.7724,0.2843
E01000033,7 ,1 ,13.0401,-7.2805,0.3083
E01000034,7 ,1 ,11.7139,-7.3329,0.2731
E01000035,7 ,1 ,-4.2372,-6.7945,0.2708
E01000036,6 ,4 ,19.2258,-7.1813,0.2752
E01000037,6 ,4 ,11.7762,-7.3284,0.2726
E01000038,7 ,1 ,5.868,-6.7228,0.2614
E01000039,6 ,4 ,14.1954,-7.4716,0.294
E01000040,7 ,1 ,12.7743,-7.1908,0.3069
E01000041,7 ,1 ,16.2086,-7.3577,0.3149
E01000042,7 ,1 ,8.9449,-7.1495,0.3065
E01000043,7 ,1 ,12.0573,-7.2987,0.2817
E01000044,7 ,1 ,13.5044,-7.2857,0.3136
E01000045,7 ,1 ,11.1509,-7.1178,0.2955
E01000046,7 ,1 ,11.5291,-7.3529,0.3112
E01000048,7 ,1 ,5.1134,-6.7969,0.3294
E01000049,7 ,1 ,6.37,-7.037,0.3064
E01000050,7 ,1 ,15.3723,-6.834,0.3332
E01000051,7 ,1 ,4.9966,-6.2125,0.3314
E01000052,7 ,1 ,14.7216,-7.021,0.3073
E01000053,7 ,1 ,15.3395,-6.7818,0.2939
E01000054,7 ,1 ,14.6741,-7.3345,0.3104
E01000055,7 ,1 ,14.198,-7.3748,0.3093
E01000056,7 ,1 ,12.7676,-7.4379,0.3065
E01000057,7 ,1 ,9.4928,-6.7321,0.2931
E01000058,7 ,1 ,12.2982,-7.3087,0.3097
E01000059,7 ,1 ,10.5104,-7.4018,0.3033
E01000060,7 ,1 ,14.9442,-6.9005,0.3073
E01000061,7 ,1 ,-13.1729,-5.9735,0.2925
E01000062,7 ,1 ,16.5419,-6.8779,0.3015
E01000063,7 ,1 ,15.0417,-6.9139,0.302
E01000064,7 ,1 ,6.6701,-7.2558,0.3013
E01000065,10 ,5 ,10.8896,-6.9335,0.2693
E01000066,7 ,1 ,14.3296,-7.4281,0.3093
E01000067,7 ,1 ,14.3136,-7.3855,0.3021
E01000068,4 ,2 ,13.2355,-7.3515,0.276
E01000069,4 ,2 ,12.6151,-7.5392,0.2731
E01000070,6 ,4 ,12.4839,-6.7943,0.2712
E01000071,6 ,4 ,15.5258,-7.4295,0.3093
E01000072,7 ,1 ,11.786,-6.6485,0.2868
E01000073,7 ,1 ,13.1729,-7.4194,0.3104
E01000074,7 ,1 ,11.1413,-7.391,0.3094
E01000075,7 ,1 ,15.3184,-7.0682,0.3029
E01000076,7 ,1 ,11.722,-7.3387,0.3108
E01000077,7 ,1 ,16.4768,-7.3217,0.3088
E01000078,7 ,1 ,10.4443,-7.1137,0.3062
E01000079,7 ,1 ,10.8157,-7.3371,0.3062
E01000080,7 ,1 ,13.1615,-7.4305,0.3066
E01000081,7 ,1 ,12.6983,-7.3963,0.3106
E01000082,7 ,1 ,16.3283,-6.8063,0.3087
E01000083,7 ,1 ,12.132,-7.0026,0.3009
E01000084,7 ,1 ,15.5215,-6.7795,0.3014
E01000085,7 ,1 ,8.8936,-6.8754,0.3026
E01000086,7 ,1 ,15.0285,-7.3324,0.3118
