date,London_total,City of London,City of Westminster,London Borough of Barking and Dagenham,London Borough of Barnet,London Borough of Bexley,London Borough of Brent,London Borough of Bromley,London Borough of Camden,London Borough of Croydon,London Borough of Ealing,London Borough of Enfield,London Borough of Hackney,London Borough of Hammersmith and Fulham,London Borough of Haringey,London Borough of Harrow,London Borough of Havering,London Borough of Hillingdon,London Borough of Hounslow,London Borough of Islington,London Borough of Lambeth,London Borough of Lewisham,London Borough of Merton,London Borough of Newham,London Borough of Redbridge,London Borough of Richmond upon Thames,London Borough of Southwark,London Borough of Sutton,London Borough of Tower Hamlets,London Borough of Waltham Forest,London Borough of Wandsworth,Royal Borough of Greenwich,Royal Borough of Kensington and Chelsea,Royal Borough of Kingston upon Thames
2020-02-15,-8.0,-9.0,-14.0,-6.0,-5.0,-5.0,-7.0,-6.0,-15.0,-8.0,-7.0,-4.0,-8.0,-1.0,-5.0,-9.0,-2.0,-2.0,-7.0,-5.0,-6.0,-6.0,-7.0,-4.0,-4.0,-9.0,-11.0,-7.0,-8.0,-6.0,-5.0,-7.0,-9.0,-11.0
2020-02-16,-11.0,-21.0,-14.0,-15.0,-6.0,-13.0,-7.0,-10.0,-13.0,-10.0,-5.0,-7.0,-13.0,-5.0,-10.0,-10.0,-9.0,-5.0,-11.0,-4.0,-9.0,-10.0,-13.0,-9.0,-10.0,-16.0,-13.0,-16.0,-17.0,-10.0,-16.0,-16.0,-2.0,-14.0
2020-02-17,4.0,-2.0,9.0,2.0,4.0,0.0,6.0,2.0,7.0,2.0,4.0,2.0,3.0,6.0,7.0,0.0,3.0,4.0,4.0,-2.0,2.0,2.0,2.0,10.0,4.0,-1.0,4.0,2.0,4.0,2.0,3.0,4.0,10.0,2.0
2020-02-18,-2.0,-2.0,1.0,-5.0,-3.0,-4.0,1.0,-3.0,3.0,-2.0,-1.0,0.0,-3.0,1.0,1.0,-3.0,-2.0,0.0,-4.0,-4.0,-3.0,-2.0,-3.0,1.0,-2.0,-4.0,-4.0,-2.0,-1.0,-3.0,-2.0,0.0,-2.0,-1.0
2020-02-19,-3.0,-4.0,0.0,-3.0,-3.0,-5.0,0.0,-4.0,2.0,-3.0,-1.0,-3.0,-2.0,1.0,1.0,-4.0,0.0,-1.0,-5.0,-9.0,-5.0,-2.0,-3.0,2.0,0.0,-9.0,-5.0,-4.0,-2.0,-2.0,-2.0,-3.0,-2.0,-2.0
2020-02-20,-4.0,-7.0,-4.0,-5.0,-4.0,-6.0,1.0,-3.0,-2.0,-1.0,-1.0,-2.0,-5.0,-1.0,-1.0,-4.0,-2.0,1.0,-3.0,-7.0,-6.0,-1.0,-4.0,-1.0,-3.0,-7.0,-6.0,-3.0,-5.0,-2.0,-3.0,-4.0,-3.0,-4.0
2020-02-21,-1.0,-2.0,4.0,0.0,0.0,-1.0,4.0,1.0,2.0,-1.0,1.0,1.0,0.0,2.0,1.0,-2.0,0.0,4.0,0.0,-4.0,-3.0,-1.0,-3.0,3.0,-1.0,-4.0,-1.0,-2.0,1.0,-2.0,0.0,0.0,1.0,-3.0
2020-02-22,-3.0,5.0,-3.0,0.0,-2.0,-1.0,0.0,-2.0,-6.0,0.0,-3.0,-2.0,-2.0,-2.0,-1.0,-4.0,2.0,1.0,-1.0,-2.0,-2.0,-1.0,-3.0,0.0,0.0,-3.0,-4.0,-5.0,-4.0,-1.0,-3.0,0.0,-1.0,-5.0
2020-02-23,-3.0,1.0,-4.0,-2.0,-2.0,-4.0,1.0,-3.0,-4.0,-3.0,1.0,0.0,-4.0,-3.0,-2.0,-3.0,0.0,-1.0,-2.0,1.0,-2.0,-3.0,-6.0,-2.0,1.0,-3.0,-5.0,-4.0,-6.0,-4.0,-4.0,-5.0,-1.0,-3.0
2020-02-24,0.0,-12.0,-1.0,0.0,2.0,-1.0,1.0,1.0,-3.0,0.0,3.0,0.0,0.0,0.0,2.0,-1.0,1.0,3.0,-3.0,-5.0,-3.0,0.0,-2.0,1.0,1.0,1.0,-3.0,0.0,-5.0,0.0,3.0,0.0,4.0,1.0
2020-02-25,2.0,1.0,4.0,3.0,4.0,6.0,3.0,7.0,1.0,2.0,5.0,4.0,4.0,6.0,3.0,4.0,6.0,6.0,0.0,2.0,1.0,3.0,1.0,1.0,6.0,4.0,-2.0,2.0,2.0,2.0,5.0,2.0,6.0,1.0
2020-02-26,0.0,-3.0,2.0,3.0,2.0,0.0,2.0,0.0,-3.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,4.0,1.0,-2.0,-3.0,2.0,-2.0,1.0,5.0,-2.0,-5.0,-2.0,0.0,2.0,0.0,0.0,5.0,-3.0
2020-02-27,-1.0,-4.0,2.0,2.0,1.0,0.0,-1.0,0.0,1.0,2.0,1.0,1.0,3.0,-5.0,-5.0,-2.0,2.0,3.0,0.0,2.0,-4.0,2.0,-1.0,-2.0,-1.0,0.0,-2.0,1.0,-4.0,1.0,0.0,0.0,3.0,0.0
2020-02-28,-1.0,-6.0,2.0,4.0,1.0,2.0,2.0,2.0,-4.0,1.0,2.0,2.0,1.0,-9.0,-4.0,-3.0,3.0,4.0,-5.0,-4.0,-4.0,1.0,-1.0,2.0,2.0,-1.0,-1.0,2.0,0.0,-1.0,0.0,1.0,2.0,-2.0
2020-02-29,0.0,3.0,-3.0,5.0,2.0,1.0,3.0,3.0,-7.0,2.0,4.0,4.0,0.0,-5.0,-3.0,1.0,3.0,5.0,-3.0,0.0,-1.0,1.0,1.0,5.0,4.0,0.0,-1.0,3.0,1.0,0.0,4.0,0.0,-4.0,-2.0
2020-03-01,4.0,14.0,1.0,9.0,5.0,1.0,11.0,4.0,2.0,4.0,9.0,5.0,2.0,-7.0,5.0,4.0,9.0,6.0,0.0,1.0,0.0,2.0,0.0,6.0,10.0,5.0,3.0,3.0,9.0,1.0,3.0,9.0,10.0,2.0
2020-03-02,6.0,0.0,6.0,7.0,9.0,2.0,8.0,6.0,0.0,5.0,8.0,6.0,6.0,-5.0,6.0,2.0,5.0,8.0,-1.0,2.0,3.0,4.0,7.0,7.0,9.0,4.0,5.0,6.0,4.0,5.0,6.0,6.0,7.0,5.0
2020-03-03,2.0,-1.0,2.0,4.0,4.0,4.0,5.0,4.0,-2.0,3.0,7.0,6.0,5.0,-3.0,2.0,1.0,3.0,8.0,-4.0,3.0,0.0,3.0,6.0,6.0,6.0,4.0,2.0,3.0,3.0,3.0,5.0,7.0,8.0,1.0
2020-03-04,1.0,-5.0,-1.0,7.0,5.0,4.0,7.0,3.0,-7.0,5.0,7.0,6.0,3.0,-6.0,1.0,2.0,7.0,9.0,-4.0,0.0,-3.0,2.0,3.0,5.0,8.0,2.0,-1.0,6.0,0.0,4.0,4.0,4.0,2.0,1.0
2020-03-05,-5.0,-17.0,-10.0,0.0,1.0,-2.0,2.0,-1.0,-13.0,-1.0,2.0,1.0,-4.0,-11.0,-7.0,-1.0,0.0,9.0,-6.0,-7.0,-7.0,-1.0,-1.0,-3.0,-4.0,0.0,-6.0,1.0,-9.0,-3.0,-4.0,-3.0,-1.0,-4.0
2020-03-06,8.0,2.0,4.0,12.0,12.0,7.0,13.0,10.0,4.0,11.0,13.0,10.0,9.0,-4.0,6.0,10.0,9.0,14.0,6.0,8.0,4.0,9.0,10.0,10.0,14.0,9.0,8.0,11.0,9.0,7.0,7.0,8.0,13.0,5.0
2020-03-07,3.0,4.0,-6.0,7.0,8.0,4.0,9.0,5.0,-6.0,8.0,9.0,6.0,6.0,-8.0,-1.0,7.0,5.0,10.0,3.0,9.0,1.0,5.0,5.0,4.0,9.0,7.0,3.0,4.0,2.0,4.0,2.0,6.0,7.0,1.0
2020-03-08,3.0,-4.0,-7.0,9.0,10.0,2.0,11.0,5.0,-3.0,6.0,11.0,7.0,4.0,-7.0,0.0,9.0,10.0,7.0,0.0,4.0,1.0,0.0,0.0,5.0,8.0,1.0,3.0,4.0,1.0,3.0,3.0,3.0,11.0,-2.0
2020-03-09,6.0,-5.0,1.0,9.0,12.0,4.0,12.0,8.0,-2.0,9.0,12.0,9.0,5.0,-4.0,6.0,7.0,8.0,13.0,1.0,4.0,3.0,5.0,9.0,9.0,12.0,6.0,6.0,10.0,1.0,6.0,7.0,8.0,8.0,4.0
2020-03-10,7.0,-5.0,1.0,10.0,8.0,6.0,16.0,10.0,-1.0,10.0,14.0,11.0,11.0,-1.0,8.0,9.0,8.0,15.0,2.0,6.0,5.0,6.0,10.0,12.0,14.0,7.0,6.0,11.0,5.0,7.0,8.0,8.0,11.0,3.0
2020-03-11,8.0,-8.0,0.0,14.0,10.0,7.0,15.0,10.0,-3.0,11.0,15.0,14.0,11.0,-1.0,8.0,11.0,11.0,13.0,4.0,8.0,5.0,9.0,10.0,16.0,15.0,8.0,5.0,9.0,7.0,10.0,11.0,13.0,12.0,4.0
2020-03-12,14.0,-11.0,-1.0,24.0,19.0,15.0,23.0,20.0,2.0,19.0,21.0,20.0,17.0,2.0,15.0,17.0,19.0,23.0,18.0,14.0,14.0,19.0,17.0,21.0,21.0,17.0,11.0,17.0,9.0,20.0,16.0,17.0,21.0,9.0
2020-03-13,15.0,-15.0,-3.0,23.0,18.0,17.0,26.0,20.0,-2.0,18.0,22.0,20.0,23.0,6.0,18.0,18.0,16.0,22.0,19.0,15.0,15.0,20.0,15.0,24.0,24.0,15.0,12.0,17.0,13.0,18.0,21.0,21.0,18.0,8.0
2020-03-14,9.0,-15.0,-15.0,21.0,17.0,13.0,19.0,16.0,-13.0,14.0,19.0,17.0,17.0,-2.0,12.0,15.0,14.0,16.0,17.0,18.0,12.0,15.0,13.0,18.0,21.0,13.0,3.0,12.0,7.0,14.0,15.0,14.0,9.0,8.0
2020-03-15,6.0,-24.0,-16.0,12.0,13.0,9.0,14.0,15.0,-16.0,9.0,14.0,13.0,7.0,-4.0,6.0,9.0,14.0,8.0,8.0,10.0,4.0,8.0,7.0,13.0,18.0,11.0,5.0,10.0,-4.0,8.0,3.0,8.0,8.0,6.0
2020-03-16,23.0,-20.0,0.0,28.0,32.0,26.0,31.0,31.0,-2.0,26.0,30.0,27.0,26.0,7.0,24.0,30.0,26.0,29.0,25.0,13.0,22.0,26.0,31.0,31.0,35.0,31.0,19.0,27.0,16.0,23.0,29.0,28.0,22.0,26.0
2020-03-17,19.0,-40.0,-15.0,27.0,30.0,29.0,29.0,36.0,-12.0,29.0,29.0,26.0,26.0,6.0,24.0,28.0,29.0,31.0,26.0,11.0,22.0,30.0,33.0,27.0,36.0,31.0,12.0,32.0,9.0,24.0,33.0,29.0,15.0,28.0
2020-03-18,28.0,-46.0,-19.0,42.0,42.0,41.0,45.0,45.0,-14.0,43.0,40.0,41.0,37.0,11.0,34.0,45.0,42.0,46.0,35.0,12.0,31.0,47.0,43.0,41.0,54.0,31.0,16.0,39.0,16.0,38.0,39.0,40.0,18.0,35.0
2020-03-19,30.0,-47.0,-20.0,44.0,45.0,43.0,53.0,46.0,-15.0,49.0,49.0,43.0,40.0,17.0,40.0,52.0,43.0,52.0,41.0,16.0,33.0,54.0,45.0,43.0,50.0,40.0,18.0,48.0,14.0,43.0,42.0,44.0,21.0,36.0
2020-03-20,8.0,-54.0,-32.0,19.0,20.0,18.0,20.0,23.0,-26.0,22.0,21.0,13.0,19.0,0.0,14.0,19.0,13.0,20.0,15.0,0.0,12.0,25.0,17.0,14.0,19.0,18.0,-1.0,17.0,-2.0,14.0,15.0,22.0,-2.0,11.0
2020-03-21,-8.0,-53.0,-47.0,-1.0,5.0,4.0,-3.0,6.0,-41.0,8.0,2.0,-2.0,0.0,-15.0,-6.0,-5.0,0.0,-1.0,-3.0,-2.0,-4.0,5.0,-1.0,-7.0,-2.0,4.0,-19.0,-1.0,-17.0,-4.0,-4.0,0.0,-21.0,-5.0
2020-03-22,-20.0,-67.0,-50.0,-16.0,-8.0,-17.0,-17.0,-9.0,-48.0,-12.0,-13.0,-13.0,-17.0,-29.0,-22.0,-20.0,-14.0,-18.0,-20.0,-18.0,-20.0,-13.0,-18.0,-20.0,-14.0,-13.0,-25.0,-18.0,-35.0,-20.0,-27.0,-18.0,-27.0,-21.0
