,time:Treat,"(0, '15,069 < 30,138 ft2 (1,400 < 2,800 m2)')","(0, '3,013 < 15,069 ft2 (280 < 1,400 m2)')","(0, '30,138 ft2 > (2,800 m2)')","(0, '< 3,013 ft2 (280m2)')",FoodPTt,FoodPT15n,FoodPT30n,FoodPT15pct,FoodPT30pct,FoodCyct,FoodCyc15n,FoodCyc30n,FoodCyc45n,FoodCyc60n,FoodCyc15pct,FoodCyc30pct,FoodCyc45pct,FoodCyc60pct,FoodCart,FoodCar15n,NUMPOINTS,PointsDens,NearestDist_mean,NearestDist_median,NUMPOINTS(500m)_mean,NUMPOINTS(500m)_median,NUMPOINT(1km)_mean,NUMPOINT(1km)_median,NUMPOINT(2km)_mean,NUMPOINT(2km)_median
time:Treat,1.0,0.3001797087649209,-0.11094471037577901,0.041307835450146047,-0.08619908919122757,0.3460527158055316,-0.3073788549649036,-0.07153086832029766,-0.17861971418904984,0.15069797605788146,0.32766850657612834,-0.12212949136866799,-0.08063067478455907,-0.05808474713104434,-0.05808474713104434,0.016030727975590863,-0.058084747131044404,-0.058084747131044404,-0.058084747131044404,0.23041066861128598,-0.11114506747844968,-0.10906816149349005,-0.44568608806777693,0.3283788654121776,0.33486609609955453,-0.4493729376455636,-0.4667402640417859,-0.46687511311261237,-0.4402860655289199,-0.46654299223040496,-0.4164261370947819
"(0, '15,069 < 30,138 ft2 (1,400 < 2,800 m2)')",0.3001797087649209,1.0,-0.1382748276233865,-0.35748091720622277,-0.1784174035914671,0.24624140706849346,-0.1804104697392803,-0.09103749767561545,-0.2626729184046026,0.11762107796178907,0.20411214010826179,-0.1663972092067183,-0.1755241052256066,-0.11450761205632926,-0.11450761205632926,-0.13124830942656446,-0.11450761205632938,-0.11450761205632938,-0.11450761205632938,0.11365964357645278,-0.3163634061592411,-0.302047663760081,-0.2619214989541428,0.2172213101405765,0.2103592770821446,-0.21278629396835017,-0.14450917100561064,-0.20408563774119562,-0.14337381481190448,-0.23785820271994068,-0.20575629742312934
"(0, '3,013 < 15,069 ft2 (280 < 1,400 m2)')",-0.11094471037577901,-0.1382748276233865,1.0,-0.2100793584619499,-0.7471539825462711,-0.11660144078332564,0.11785074731077466,0.20304848642225581,0.23023897150631198,-0.12035202625926317,-0.11157374184677844,0.19148482060423955,0.19571825214638752,0.16487045779673007,0.16487045779673007,0.3055228543752788,0.1648704577967302,0.1648704577967302,0.1648704577967302,-0.12487090211878475,0.21715856228757136,-0.12041220859365213,0.11794156284066896,0.026740471762690544,0.05900607882826315,0.05154434864606919,-0.029800901452799924,0.08998201709649535,0.07304432410092615,0.1215060470749752,0.07448067671004867
"(0, '30,138 ft2 > (2,800 m2)')",0.041307835450146047,-0.35748091720622277,-0.2100793584619499,1.0,-0.27049273867842005,0.4861548399150633,-0.5709872748918311,-0.13120677393500788,-0.3765458817319558,-0.09409538610588243,0.49859938545881566,-0.3156887073474047,0.09503341826593456,0.08061896645786451,0.08061896645786451,-0.3424862907295679,0.08061896645786454,0.08061896645786454,0.08061896645786454,0.5213280568893807,-0.15883111725094415,-0.30429915421603126,-0.5621680848438952,0.5411817278382919,0.5287694440594229,-0.5712122353787945,-0.5444772394539634,-0.5768572815516708,-0.5876492814941079,-0.5682219194994547,-0.5482558091035853
"(0, '< 3,013 ft2 (280m2)')",-0.08619908919122757,-0.1784174035914671,-0.7471539825462711,-0.27049273867842005,1.0,-0.3491100160320136,0.36846130560148604,-0.05765920200191072,0.17515247517359459,0.11425048767267895,-0.33907135081154044,0.11866017604092392,-0.15562287688256282,-0.14985908469623493,-0.14985908469623493,0.007289321958147305,-0.14985908469623505,-0.14985908469623505,-0.14985908469623505,-0.29161595101258175,0.07146831142020194,0.48653005444480885,0.4074001861108753,-0.5081908996247807,-0.5271994771187698,0.4503906906630075,0.47326443846230504,0.41231680655120784,0.40240949360350964,0.3947543434225688,0.409017225645867
FoodPTt,0.3460527158055316,0.24624140706849346,-0.11660144078332564,0.4861548399150633,-0.3491100160320136,1.0,-0.9772443902140032,-0.4383877244932832,-0.8502985808000952,-0.1949702857990517,0.9884094050534364,-0.7180630658798784,-0.27267144620269157,-0.24726758089736572,-0.24726758089736572,-0.5400809715189946,-0.2472675808973659,-0.2472675808973659,-0.2472675808973659,0.9082515524801174,-0.36210864832327927,-0.28354333968706685,-0.9168600543482428,0.9249449213169276,0.9120341689820359,-0.9195211535021701,-0.8816405374933864,-0.9180155469690532,-0.9069713632168613,-0.9203039787158093,-0.9298087143772856
FoodPT15n,-0.3073788549649036,-0.1804104697392803,0.11785074731077466,-0.5709872748918311,0.36846130560148604,-0.9772443902140032,1.0,0.4122417055172653,0.7958958977624386,0.22669957644319388,-0.9563822401056559,0.7092639881406586,0.17913260702709893,0.16189821857382508,0.16189821857382508,0.48331011947441865,0.16189821857382522,0.16189821857382522,0.16189821857382522,-0.8821524077427783,0.35664546157926247,0.353052701071361,0.9474035312286201,-0.935291433511003,-0.9186513980612169,0.9432606279793978,0.903109426054084,0.9458813156513368,0.9370022071213712,0.947830546307804,0.9534556832311613
FoodPT30n,-0.07153086832029766,-0.09103749767561545,0.20304848642225581,-0.13120677393500788,-0.05765920200191072,-0.4383877244932832,0.4122417055172653,1.0,0.7042112232529861,0.2853689368181671,-0.45800616483694556,0.8525858453418093,0.06086968597763264,-0.023020818029701174,-0.023020818029701174,0.4849440777737994,-0.02302081802970118,-0.02302081802970118,-0.02302081802970118,-0.27665331980040814,0.42928875469920713,-0.3110253298752272,0.35332721605259454,-0.4641289383969935,-0.4254219410391038,0.31979559678931363,0.31029591177142596,0.3158562434852965,0.3189798697358005,0.3239846974406499,0.3386751154215764
FoodPT15pct,-0.17861971418904984,-0.2626729184046026,0.23023897150631198,-0.3765458817319558,0.17515247517359459,-0.8502985808000952,0.7958958977624386,0.7042112232529861,1.0,0.2986213896969192,-0.8667390158796069,0.8774717845004212,0.3266909002316059,0.2866028876347491,0.2866028876347491,0.7114635300531179,0.2866028876347493,0.2866028876347493,0.2866028876347493,-0.7503394412796599,0.37220011520378776,0.020184714268035055,0.6853894213154285,-0.769468401091973,-0.7460595462999698,0.6576991900960864,0.6527043511722839,0.6533300379632504,0.6340049745810185,0.6692657883044645,0.6755246601692549
FoodPT30pct,0.15069797605788146,0.11762107796178907,-0.12035202625926317,-0.09409538610588243,0.11425048767267895,-0.1949702857990517,0.22669957644319388,0.2853689368181671,0.2986213896969192,1.0,-0.19272307358516363,0.41095585068215673,-0.03889731788724162,-0.03333333333333335,-0.03333333333333335,0.2904108339209036,-0.03333333333333335,-0.03333333333333335,-0.03333333333333335,-0.065837348959697,-0.038911018487930854,0.049584476678047995,0.18148580787785787,-0.22566378036899817,-0.19869558795838613,0.14452938255014203,0.25111690801803277,0.14741429918490556,0.13192045800273366,0.16246773628203728,0.19193028167386234
FoodCyct,0.32766850657612834,0.20411214010826179,-0.11157374184677844,0.49859938545881566,-0.33907135081154044,0.9884094050534364,-0.9563822401056559,-0.45800616483694556,-0.8667390158796069,-0.19272307358516363,1.0,-0.7199207189229,-0.3606868098475222,-0.3336188611476868,-0.3336188611476868,-0.6016722146004242,-0.333618861147687,-0.333618861147687,-0.333618861147687,0.8987570839505651,-0.37845703148209353,-0.1974774443823346,-0.8876329447768501,0.9139734696719208,0.9079024912149108,-0.8869759708308129,-0.8512516613570381,-0.8875318112047489,-0.8732431099612039,-0.8899154306951655,-0.9003659788306899
