,time:Treat,"(0, '15,069 < 30,138 ft2 (1,400 < 2,800 m2)')","(0, '3,013 < 15,069 ft2 (280 < 1,400 m2)')","(0, '30,138 ft2 > (2,800 m2)')","(0, '< 3,013 ft2 (280m2)')",FoodPTt,FoodPT15n,FoodPT30n,FoodPT15pct,FoodPT30pct,FoodCyct,FoodCyc15n,FoodCyc30n,FoodCyc45n,FoodCyc60n,FoodCyc15pct,FoodCyc30pct,FoodCyc45pct,FoodCyc60pct,FoodCart,FoodCar15n,NUMPOINTS,PointsDens,NearestDist_mean,NearestDist_median,NUMPOINTS(500m)_mean,NUMPOINTS(500m)_median,NUMPOINT(1km)_mean,NUMPOINT(1km)_median,NUMPOINT(2km)_mean,NUMPOINT(2km)_median,0-18,19-34,35-49,50-64,65+,Total_pop,IMD - Average rank ,IMD - Rank of average rank ,IMD - Average score ,IMD - Rank of average score ,IMD - Proportion of LSOAs in most deprived 10% nationally ,IMD - Rank of proportion of LSOAs in most deprived 10% nationally ,IMD 2019 - Extent ,IMD 2019 - Rank of extent ,IMD 2019 - Local concentration ,IMD 2019 - Rank of local concentration ,Income - Average rank,Income - Rank of average rank,Income - Average score,Income - Rank of average score,Income - Proportion of LSOAs in most deprived 10% nationally,Income - Rank of Proportion of LSOAs in most deprived 10% nationally,Income - Scale,Income - Rank of scale,Employment - Average rank,Employment - Rank of average rank,Employment - Average score,Employment - Rank of average score,Employment - Proportion of LSOAs in most deprived 10% nationally,Employment - Rank of proportion of LSOAs in most deprived 10% nationally,Employment - Scale,Employment - Rank of scale,"Education, Skills and Training - Average rank","Education, Skills and Training - Rank of average rank","Education, Skills and Training - Average score","Education, Skills and Training - Rank of average score","Education, Skills and Training - Proportion of LSOAs in most deprived 10% nationally","Education, Skills and Training - Rank of proportion of LSOAs in most deprived 10% nationally",Health Deprivation and Disability - Average rank,Health Deprivation and Disability - Rank of average rank,Health Deprivation and Disability - Average score,Health Deprivation and Disability - Rank of average score,Health Deprivation and Disability - Proportion of LSOAs in most deprived 10% nationally,Health Deprivation and Disability - Rank of proportion of LSOAs in most deprived 10% nationally,Crime - Average rank,Crime - Rank of average rank,Crime - Average score,Crime - Rank of average score,Crime - Proportion of LSOAs in most deprived 10% nationally,Crime - Rank of proportion of LSOAs in most deprived 10% nationally,Barriers to Housing and Services - Average rank,Barriers to Housing and Services - Rank of average rank,Barriers to Housing and Services - Average score,Barriers to Housing and Services - Rank of average score,Barriers to Housing and Services - Proportion of LSOAs in most deprived 10% nationally,Barriers to Housing and Services - Rank of proportion of LSOAs in most deprived 10% nationally,Living Environment - Average rank,Living Environment - Rank of average rank,Living Environment - Average score,Living Environment - Rank of average score,Living Environment - Proportion of LSOAs in most deprived 10% nationally,Living Environment - Rank of proportion of LSOAs in most deprived 10% nationally,Cars: No cars or vans in household; measures: Value,Cars: 1 car or van in household; measures: Value,Cars: 2 cars or vans in household; measures: Value,Cars: 3 cars or vans in household; measures: Value,Cars: 4 or more cars or vans in household; measures: Value,Total_car,WA_HubDist,WA_NUMPOINTS(500m),WA_NUMPOINTS(1km),WA_NUMPOINTS(2km),pop_den,NNI,z.score,p,expected.mean.distance,observed.mean.distance,Employee,employee/pop
time:Treat,1.0,0.4451543534481531,0.10536165901173794,0.20941576079643756,-0.43644786139559344,0.5267157657187913,-0.46566330900796704,-0.1209880008175088,-0.2814934839491521,0.07219037387140116,0.4592857314231749,-0.21732365920535426,-0.09358596925496875,-0.07259183463321625,-0.07259183463321625,-0.07509245848033665,-0.07259183463321624,-0.07259183463321624,-0.07259183463321624,0.27114265251111047,-0.1649675641754719,-0.019020495332074668,-0.6360558852708164,0.5139789102741421,0.5225653339976251,-0.6495508027034355,-0.6279036040895585,-0.6514699879268734,-0.6294956764652428,-0.6626169731622694,-0.6212910134135619,0.4793254404558534,-0.4363019797848282,0.17701166719314224,0.15754085186741143,0.11936570772753329,0.3240910632947538,-0.11222787068805046,0.11643048567214836,-0.12023792538519196,0.1352477312304402,-0.005193371779926691,0.08996577294514105,-0.13236717910103296,0.1768366367337517,-0.17344575835016812,0.16016920038246585,-0.000179378254769455,-0.010728846902393013,-0.05784428789154697,0.048537687531853654,-0.27932463056091433,0.28372882649824815,0.04865213649740614,-0.22083242300643768,0.0017972661634682993,-0.00041055988676746736,-1.1206532380864118e-16,0.03725028517168427,-0.25181461377025255,0.15639717314417295,0.0679752605519925,-0.2214231740175374,0.057409295521159205,-0.041265992961365884,0.04741940714129763,-0.04757279267205668,,0.09277596821876517,-0.11482985603206636,0.104864579137244,-0.06864410972263488,0.055829336692532996,,0.13445551713792753,0.1981794342070393,-0.14451737184309366,0.28369620132338524,-0.1550864614694991,-0.18018166551436224,0.1609038383674039,-0.04799513743314366,0.001276840691481679,-0.03957888788759812,-0.04536233971655595,-0.06905635711971084,-0.14810070005565198,-0.2971064024245733,0.2703280916178168,-0.34464243592982036,0.2770294949139012,-0.3695855186365487,0.4053668359284418,-0.5580421413717694,0.6781366023879519,0.4671352897325189,0.3927223205048762,0.33296547230886847,0.5166260875713726,0.51849654327201,-0.6507133825563448,-0.6502767278541335,-0.6577079651022822,-0.32043894477892093,-0.33538692735326364,-0.3138421157942072,-0.09477291477839576,0.5676842590036737,0.48585247453973857,-0.6229567296035519,-0.5132232762971823
"(0, '15,069 < 30,138 ft2 (1,400 < 2,800 m2)')",0.4451543534481531,1.0,-0.054692207113470816,-0.2073345052816547,-0.33466026385595005,0.37641863529527797,-0.2949730946618938,-0.11891731072344841,-0.3175742396602046,0.09258207018476985,0.3150355941708822,-0.2177125910413677,-0.18043022360302446,-0.12155198282664777,-0.12155198282664777,-0.1627678749282088,-0.12155198282664775,-0.12155198282664775,-0.12155198282664775,0.16214797532089906,-0.33347732281455356,-0.21190267518073277,-0.44099903996152223,0.35996890332749987,0.35729726187980954,-0.41786795340231575,-0.3637607026200406,-0.41375400055170786,-0.3787146579115174,-0.42982969202310284,-0.4094315136902828,0.3480688367666091,-0.404178054591475,0.10019495140077982,0.1161750168347652,0.25830871818496093,0.011443659120089626,-0.3505996778478935,0.39132641239491517,-0.32988096341080003,0.37085689259467614,-0.0681779952430088,0.12420569718117218,-0.22047054807000024,0.3354172469993229,-0.346277534118524,0.3193549908063254,-0.233866275384224,0.2597778695068761,-0.3426832647344482,0.25741981930051044,-0.20067535218357116,0.19450551569548524,-0.2550471306646746,0.040348462729380044,-0.29818499164809625,0.3133633483908491,3.7122584159125416e-16,0.3060593600138022,0.010141623537765182,0.17516169749100455,-0.2949855823169594,0.07999026536746076,-0.17671234895857033,0.15988487462392706,-0.1662383876089357,0.16435376222412834,,0.1343737596174819,-0.42872022481049854,0.44742386005522117,-0.42122785361059456,0.4360124842192597,,0.23404301017864193,-0.06338720152144035,0.11270126069461392,0.02937811635572903,0.10193357735763317,-0.2104294429980608,0.2691474128972003,-0.18211241205904088,0.10127835361336045,-0.16627379050856975,0.1246758134219903,-0.1834108400550869,0.1414582898582439,-0.32031914592080135,0.3013195868339315,-0.35385605070136067,0.3188866208268239,-0.3275173977498684,0.3780448124718295,-0.46164212599899007,0.47183526180247876,0.441843066495935,0.3800551235647582,0.34427869181473586,0.3106045574071686,0.36493524279300793,-0.4211106528109638,-0.4143494035501182,-0.4261131114258957,-0.2200331208659358,-0.09272267519127891,-0.09602545823573524,-0.0031083864923235087,0.33813268980168365,0.34750592071625164,-0.28238012455840206,-0.35584731370844613
"(0, '3,013 < 15,069 ft2 (280 < 1,400 m2)')",0.10536165901173794,-0.054692207113470816,1.0,-0.14697028922652058,-0.7319999912362395,-0.008762293170707144,0.0200789170648807,0.16952208341506358,0.16216281502315366,-0.1265013039693161,-0.029418036151724246,0.1353802940132602,0.1747837149010367,0.14710123815411624,0.14710123815411624,0.2617983173314088,0.14710123815411616,0.14710123815411616,0.14710123815411616,-0.0818791579035883,0.17670572858508696,-0.12058881806957987,-0.04074079569010443,0.10611327066336904,0.13415302584526095,-0.07084104269330203,-0.10141280423429726,-0.04970914041914593,-0.051311744880436466,-0.02704316393845993,-0.047399500580018274,0.024623161736310472,0.023117814664510173,-0.22106489894196973,0.037915936267620236,0.001282817912923841,0.015560027043520667,0.07260381316251036,-0.061994261909579934,0.07975359083444343,-0.08230486009791119,0.08980018410776125,-0.1362846999017148,0.01820546018951635,-0.07399990296078941,0.06213737760697319,-0.06276398340790514,0.11577079653325596,-0.11455119298033997,0.09338477127064089,-0.1224758264847091,-0.0977942377132101,0.0029938048325096906,0.08376159768816557,-0.0948613113104442,0.11531865053359329,-0.11561425457753582,-3.395750075871062e-16,-0.1140290018724265,0.096867955663382,-0.0472998506095447,0.08764527558934525,-0.09616234544152907,0.09902543157187724,-0.08669286745273166,0.08462957173724697,-0.0928631867989162,,-0.10157285760414915,0.014219839988667486,-0.010277120495628332,0.04935942278469781,-0.009464088331338365,,-0.02908259065549922,0.07634766162952955,-0.053438533886458944,0.0984044406493163,-0.07245913644131441,0.1271779122788818,-0.05485205546195509,-0.02730323158586209,0.08208433081045521,0.025059407474958714,0.07699066620719253,0.013394444353834595,0.036798645988742815,-0.03946155110482724,0.0681282678658601,-0.03143797966365176,0.07446423244540226,-0.022558497988130505,0.045421897569631976,0.05445468691433686,-0.06347445755982045,-0.04346844992074397,-0.039129320027608924,-0.07954014754755803,-0.08243357118262003,0.10351101790647008,-0.0542982842180418,-0.04285370403372623,-0.022496763687298936,0.11090795064273051,-0.254894753630591,-0.19682209003296786,-0.10779599486869704,-0.1103796145216074,-0.21843287025687902,-0.1286350215708295,-0.0811607787574819
"(0, '30,138 ft2 > (2,800 m2)')",0.20941576079643756,-0.2073345052816547,-0.14697028922652058,1.0,-0.36041169913282345,0.5427297191630948,-0.6093074827510355,-0.15058141008634693,-0.4105772146261063,-0.10158788827668472,0.5478785032826797,-0.34553457568234375,0.07758026052163085,0.06572137540317706,0.06572137540317706,-0.3565467236258234,0.06572137540317705,0.06572137540317705,0.06572137540317705,0.5359464902551201,-0.1825081149111685,-0.23688946994928176,-0.5103048886688268,0.5916259688883527,0.5812637410114463,-0.5503713323883721,-0.5555821101357882,-0.5422771407504616,-0.5502616056691635,-0.5679738344479026,-0.5437168705520156,0.5081586531756865,-0.450736296621463,-0.25929832248950163,0.28925176016746734,0.21484376737095784,0.29511365811859586,0.0717800150903393,-0.10136212354189579,0.05554674853498784,-0.08598456061040992,0.1653525517767914,-0.027858090197429273,0.05948978981542013,-0.09016677799632788,0.2079233431675238,-0.1933860577306942,0.11465799914691495,-0.13688351272916002,0.11893575790879064,-0.10813137036775158,-0.13189279650813412,0.10934337795443407,0.1946519034860411,-0.26838091224434035,0.13439775535797246,-0.13547252247450547,1.5851554489909032e-16,-0.11993384525377997,-0.23441734854925358,0.02546972816252509,0.13946288591098568,-0.23133456307914235,0.5215902749892409,-0.5220964082919386,0.5185924120234406,-0.5311613017403622,,-0.13187444817456004,-0.0737286871813705,0.049089781927729934,-0.0006030227856010669,0.013260821808883543,,0.34253921819567995,0.1333510524824009,-0.11096742338590311,0.1736048305742495,-0.11184530286738258,-0.2299721597398503,0.10504526984418323,0.17493400904549478,-0.1276078176937334,0.21599803044077642,-0.15929460502928428,0.18478512021307275,-0.3223582808643057,-0.3883829967739717,0.37381509650696526,-0.41075789973166155,0.3703319546329362,-0.34107051530378263,0.41720097337983114,-0.5042665069058961,0.47396333448190126,0.4804712833842787,0.5142895941589328,0.5077216864207995,0.47005076013370173,0.5957337717449003,-0.5589463627177925,-0.54661790966117,-0.5748920315338614,-0.4132334320009708,-0.12551929156782676,-0.0770181172924096,0.11205787402909384,0.5417454008140722,0.5555832868564897,-0.3888161016076632,-0.2870428228536136
"(0, '< 3,013 ft2 (280m2)')",-0.43644786139559344,-0.33466026385595005,-0.7319999912362395,-0.36041169913282345,1.0,-0.501653689573569,0.4903247869813178,0.005095004128549991,0.2644140330317744,0.12029813148941489,-0.4563302032879825,0.1985228590084448,-0.10281367572572511,-0.10202595629678082,-0.10202595629678082,0.07040789407164402,-0.10202595629678077,-0.10202595629678077,-0.10202595629678077,-0.32800178904072974,0.12576223606185233,0.3481736815940087,0.5569257234366399,-0.6193763700878473,-0.6356524532926227,0.5943584365542556,0.5960747138642353,0.5696413628457871,0.5580734973238443,0.5736881242310868,0.5663607906819711,-0.49527426456023793,0.44928241407444847,0.2893792507913835,-0.2609123183050449,-0.2575892454219828,-0.1927632489454672,0.07266318224246068,-0.08470234735690681,0.06575335681224226,-0.06627859374628765,-0.13908416855948627,0.06923526542794652,0.06046493733586536,-0.05301316789276624,-0.0008528910698629291,0.006363525276531285,-0.047842715667216616,0.046867795500276116,0.023320347104964355,0.03782211860400735,0.2613894588734257,-0.16479293575858928,-0.05722628290450884,0.21805689233070477,-0.026731456505499702,0.01997892225521772,-6.320834659948738e-16,0.013158770466492902,0.05102622892168499,-0.0631017329514741,-0.007910531967285276,0.1773924414818685,-0.30213655204066464,0.3004656190828853,-0.2934595549938661,0.30877791460353,,0.09602312998021127,0.2470752744150749,-0.24530645302080287,0.17049911439408819,-0.21914806173215792,,-0.29491102764091465,-0.11126126933170667,0.05388435842666291,-0.20030264602676234,0.07591148802638303,0.13372510342643742,-0.15086829483564795,0.011668424815181499,-0.04523126530648755,-0.0647923133925027,-0.03402651217143597,-0.02791517700371668,0.08759189310605447,0.42331322132538524,-0.4294282983144148,0.44657619116839053,-0.44157470788166264,0.38476281753059943,-0.4743718172150123,0.4832097576530728,-0.4628555325825419,-0.4685278789738021,-0.46103680154637794,-0.40497873470852164,-0.36339962727517083,-0.6220928035085086,0.587044340905326,0.5666975773522644,0.5720470395460615,0.26027505336083845,0.33624849874739715,0.2602050378426495,0.02675935556869885,-0.3958361244375008,-0.3172802470396306,0.4799311205387395,0.4167716166173074
FoodPTt,0.5267157657187913,0.37641863529527797,-0.008762293170707144,0.5427297191630948,-0.501653689573569,1.0,-0.9759297020099058,-0.4317248651605231,-0.8369882839992455,-0.1929829551569795,0.9852657719993384,-0.7099656661719029,-0.2652422865890303,-0.23947408756276584,-0.23947408756276584,-0.5295564367713983,-0.23947408756276575,-0.23947408756276575,-0.23947408756276575,0.8693090991655167,-0.37357286708889,-0.1832244304705497,-0.774121561764546,0.9394758906950734,0.9292600979997296,-0.8313472736631193,-0.8382950500741378,-0.812762303966112,-0.8081607619766406,-0.8629505587994413,-0.8450286585649188,0.7378143790540871,-0.7397319784752945,-0.29870546556625316,0.42058292454234214,0.4349622012551566,0.46850473878586535,-0.28260176883953947,0.29014038159309014,-0.2827727401716675,0.29335194049014357,-0.014367766268315952,0.19530287270612026,-0.19961258604537668,0.28762035298044303,-0.2426134626085056,0.23833484530314497,-0.10271448159859206,0.08866040290374944,-0.1971752805727566,0.173112345297075,-0.4347441320015657,0.4209533619513261,0.09904962941346694,-0.22155928854426213,-0.13266096970675526,0.13965759484016002,-3.197280471992475e-16,0.1912072767131197,-0.43869550754523273,0.3627387612188066,0.027631902105270837,-0.16561842196379387,0.3070459279395232,-0.2912210110289558,0.3234027678411795,-0.32616154469374525,,-0.2364651400845852,-0.3979703762479989,0.3875119426449693,-0.27516156114189194,0.3064673605986898,,0.38702738144734783,-0.0366102922440167,0.08556187178375532,0.07242021008858554,0.07192466652734593,-0.3398379968204921,0.3642272227543552,-0.03741508675245373,0.054179187467024235,0.017947199221026666,0.018209125228085037,0.017546520135424872,-0.17433610946270947,-0.7899445302680704,0.740211573759795,-0.821195498910939,0.7468245485501592,-0.7390878974018846,0.8451263243145303,-0.9020675766738446,0.825039152260588,0.8951623813625655,0.8799800243731333,0.842205147432082,0.8580382104051665,0.9340974240379669,-0.8363033937124504,-0.8126186496359412,-0.864738244979667,-0.704166087562713,-0.38323001092172143,-0.357116501308879,-0.0993562950614362,0.8887751174408653,0.7854639883146177,-0.5446339297567394,-0.42370181933041007
FoodPT15n,-0.46566330900796704,-0.2949730946618938,0.0200789170648807,-0.6093074827510355,0.4903247869813178,-0.9759297020099058,1.0,0.4169535583369529,0.8024394825641926,0.2264567971324456,-0.9603406385763587,0.715063421983183,0.18519755407432142,0.16652327881331566,0.16652327881331566,0.48898932356277397,0.16652327881331572,0.16652327881331572,0.16652327881331572,-0.8663115563323457,0.3736115689995496,0.27635150380937806,0.7222448604771851,-0.9351983829160831,-0.9202745681293754,0.7879098598777852,0.8018319187711969,0.7674982584207387,0.7645436143611634,0.8297787859654878,0.8043282447867942,-0.7448823205889219,0.7628402049438779,0.29849074118432434,-0.4592885813807323,-0.443997460880151,-0.3995444153349723,0.2661087274561095,-0.2716495869376874,0.26666348160268394,-0.2757660623619726,0.01872972293003776,-0.19105599022825867,0.1978847675806902,-0.27775002988282455,0.23594480638853993,-0.23278472148095344,0.1152885244052314,-0.1021362333795026,0.18490405194818257,-0.19026416039042265,0.47697964263935555,-0.46110657062299243,-0.06510752467268198,0.15999463260510066,0.1336430946860676,-0.13949638601189446,2.7957409298833145e-16,-0.1986221780106641,0.4870455710757666,-0.37983927257881545,0.017206456531567757,0.09917802995858181,-0.3625798782159816,0.3657179018725943,-0.3840970642175541,0.39746897874186765,,0.2607473867863531,0.38284331783559145,-0.37028274597422567,0.25036702248109105,-0.2851578533698124,,-0.4621297243083378,0.06528687427493399,-0.10649510563928785,-0.022210180480854498,-0.09532130740196693,0.3371667149659017,-0.3647909366274012,0.004532251796567977,-0.05478282868962291,-0.06858882890688588,-0.00942019869686129,-0.09291627765762828,0.22890598211829433,0.7792679589549351,-0.7232805585454151,0.8155643808774216,-0.7283582385567172,0.7556596756663011,-0.8480928290543954,0.8946637254136438,-0.8254926432531287,-0.8819979287675568,-0.8731517459528922,-0.8304811190291842,-0.8123908085443801,-0.9323400326106202,0.7957177545767602,0.7686619997665863,0.8343738348628957,0.7667949836888565,0.3075294384997529,0.2762844185367201,0.12859580072779997,-0.8785591160245305,-0.8066183769174522,0.5508311486797914,0.3297534974823356
FoodPT30n,-0.1209880008175088,-0.11891731072344841,0.16952208341506358,-0.15058141008634693,0.005095004128549991,-0.4317248651605231,0.4169535583369529,1.0,0.7051609714365782,0.2881335821272221,-0.45882999132701496,0.8520237015436481,0.06569453394303897,-0.018417301382114726,-0.018417301382114726,0.4909760611475585,-0.018417301382114722,-0.018417301382114722,-0.018417301382114722,-0.28748212799661876,0.4361433552037158,-0.30948734323457344,0.2432129222305798,-0.4491633813517933,-0.41373498334981884,0.2534598861163116,0.2640911902489864,0.242550873331978,0.24533681421535966,0.2721262628659995,0.2697969835822895,-0.1806461874685959,0.3893695066303261,0.3305084259336581,-0.3920366686261991,-0.4060613226279637,-0.33203532922861717,0.18174112953643573,-0.17949114210050443,0.1725734398832073,-0.14708550569543707,0.10946709134892929,-0.1318558501179724,0.07508450637647357,-0.0773723470412248,-0.03840989530050806,0.015279893046442967,0.17080390034940793,-0.15610966168412949,0.2746179411807694,-0.14990611549639285,0.13548436109891823,-0.1029144025504844,-0.06041958689694501,0.08801818942703106,0.08902302466408138,-0.09097561251560445,3.590968985266993e-14,-0.09471464033821639,0.12383673623862981,-0.25687026008484115,-0.06832904238267316,0.10534514406346379,-0.201543133587977,0.18360775629832587,-0.22975469326345876,0.21758033405777852,,0.48996417114786356,0.11968004767796189,-0.11728192932486878,0.07668226479288665,-0.09527496505153824,,-0.18903129331488383,0.06028934905620998,-0.050470706291381305,0.02768698999385894,-0.03998518293940544,0.024904721405720875,-0.06378913704840236,0.06780907063118838,0.01859748383777123,0.08832110160679138,0.028172077519047642,0.09059820456713256,0.07340738022570481,0.5244525768346712,-0.5514695102509218,0.4707215215755244,-0.5241004499036055,0.21879995136684727,-0.35398558131986185,0.3944002826215753,-0.2549058771319019,-0.44355935293661736,-0.46944477634939263,-0.5462879667088035,-0.6176905447564128,-0.44722139116412246,0.2558798846068217,0.2383395140346974,0.26972158826054476,0.4328980572516585,0.2894062713096,0.3328762934450561,0.179766498410545,-0.5720018669273442,-0.40624507454714953,0.0543686601959296,0.07556252872610228
FoodPT15pct,-0.2814934839491521,-0.3175742396602046,0.16216281502315366,-0.4105772146261063,0.2644140330317744,-0.8369882839992455,0.8024394825641926,0.7051609714365782,1.0,0.30078236202306036,-0.8655195604396474,0.8819183922400543,0.3296667581190759,0.28908085318601334,0.28908085318601334,0.7151700510979635,0.2890808531860134,0.2890808531860134,0.2890808531860134,-0.7575079789887802,0.3874613697715897,-0.0016806401482315732,0.492631314167088,-0.7591476294725779,-0.7368710653584988,0.5318936261329869,0.5609895233210573,0.5124560237565816,0.5035061513335352,0.5702638762128206,0.5516335907312783,-0.44464977022965796,0.6579853935849388,0.3926855715900218,-0.5212282317693128,-0.5640057658168071,-0.36458868677852907,0.3644694352535354,-0.36000978694566194,0.37056258122207414,-0.3505222120010707,0.090506156386047,-0.2674879287394079,0.27077979288506654,-0.32335784149028574,0.21927633767564303,-0.23903348634404434,0.23988407993592759,-0.2150127299558811,0.3495689785496655,-0.26330525369340874,0.3458120716135946,-0.3534148227541144,0.00679646614091716,0.07380556770861273,0.22637881701272822,-0.23090660737066998,-1.0010402737077895e-14,-0.2626709197638742,0.29505531542340524,-0.3812207556734724,0.0622066907740429,0.03580158960413895,-0.19018528260760745,0.17377903442075007,-0.2218575124708881,0.22525711526121434,,0.41670168605172725,0.42565744671296457,-0.4235374605594442,0.3222348377901257,-0.36393796687286645,,-0.3872651183229025,0.18960338267763985,-0.21008468002386496,0.10671925869348338,-0.2028291875954142,0.3643497733262121,-0.4150126006622314,0.09422072590806058,-0.012705720761281963,0.11054810269932974,0.0015441680357889806,0.12225890990141916,0.10455278329337053,0.7607040391721172,-0.7431635576970362,0.7433550131194884,-0.7365659793003475,0.5208009698326457,-0.6733890962676476,0.7605705875526569,-0.5886808028520254,-0.8088431178327028,-0.8336232863786893,-0.8572393048771773,-0.8291432379669383,-0.7505957430928255,0.5378281601683902,0.5105041232632488,0.5704266301886936,0.6867955234704101,0.31159966354560326,0.3179618220097047,0.10271913059293575,-0.7420089151266327,-0.6009272380141211,0.2926533804204659,0.18276065157473803
FoodPT30pct,0.07219037387140116,0.09258207018476985,-0.1265013039693161,-0.10158788827668472,0.12029813148941489,-0.1929829551569795,0.2264567971324456,0.2881335821272221,0.30078236202306036,1.0,-0.19483433384030194,0.41171282954821986,-0.03645294653561691,-0.03125000000000007,-0.03125000000000007,0.29340670945445146,-0.03125,-0.03125,-0.03125,-0.07202015506250331,-0.03306170800173966,0.04461505752689452,0.1210640298820147,-0.21764519879850672,-0.19322296961094776,0.11485239760182085,0.19364916731037057,0.11251894527228742,0.10418521487827316,0.133695372595671,0.14617202335780483,0.009338367648410426,0.20611175370154186,0.40918777136364426,-0.26943322757157256,-0.38379975070825434,0.03356570688549088,0.13156795132898616,-0.13176062601622524,0.13268017296100468,-0.11878252997452528,0.07470178808339956,-0.11828340858397668,0.09172492321316783,-0.08912338976154488,0.015793434894011953,-0.03588982873905367,0.11688979455245374,-0.11707699954510425,0.1425219281373922,-0.11622527717455701,0.15592638902092057,-0.1184824504440622,0.11801183428288156,-0.050850515799280474,0.05502680147936896,-0.06175923675931168,-2.637755330588892e-13,-0.05726937848129655,0.05590169943749475,-0.12506448863746744,0.11385478291528478,-0.050757188405752815,-0.3031865180023748,0.349505235133621,-0.34045387770828633,0.37401573743181504,,0.9106711338276188,0.0855286417193028,-0.07679793668066455,0.03626725841494265,-0.06596236937869047,,-0.09096991147718883,0.04405234395342662,-0.02860035989474201,0.03968362693177641,-0.03166617020476127,0.19107174951190053,-0.0933251181211711,0.2535832811101195,-0.2663603859391514,0.2156427476743866,-0.27758704491680936,0.1747183453665963,-0.17690198096820647,0.38162921638904096,-0.46962701895982484,0.33156721536063305,-0.4538663380063175,0.14082517803727698,-0.24874066764008032,0.22183161442879898,-0.11512990043227778,-0.2605395369554514,-0.30087357793729685,-0.34569030523854505,-0.19027230892889302,-0.22806500995404702,0.11912526086718236,0.11152727928092385,0.1348507460184464,0.23791372297258787,0.016754284327949613,0.0003333970010527943,-0.023279181285700112,-0.12108768952477862,-0.1304965634921185,0.09132337743485373,0.03520693509021741
