,Stage3,"(0, '15,069 < 30,138 ft2 (1,400 < 2,800 m2)')","(0, '3,013 < 15,069 ft2 (280 < 1,400 m2)')","(0, '30,138 ft2 > (2,800 m2)')","(0, '< 3,013 ft2 (280m2)')",FoodPTt,FoodPT15n,FoodPT30n,FoodPT15pct,FoodPT30pct,FoodCyct,FoodCyc15n,FoodCyc30n,FoodCyc45n,FoodCyc60n,FoodCyc15pct,FoodCyc30pct,FoodCyc45pct,FoodCyc60pct,FoodCart,FoodCar15n,NUMPOINTS,PointsDens,NearestDist_mean,NearestDist_median,NUMPOINTS(500m)_mean,NUMPOINTS(500m)_median,NUMPOINT(1km)_mean,NUMPOINT(1km)_median,NUMPOINT(2km)_mean,NUMPOINT(2km)_median,0-18,19-34,35-49,50-64,65+,Total_pop,IMD - Average rank ,IMD - Rank of average rank ,IMD - Average score ,IMD - Rank of average score ,IMD - Proportion of LSOAs in most deprived 10% nationally ,IMD - Rank of proportion of LSOAs in most deprived 10% nationally ,IMD 2019 - Extent ,IMD 2019 - Rank of extent ,IMD 2019 - Local concentration ,IMD 2019 - Rank of local concentration ,Income - Average rank,Income - Rank of average rank,Income - Average score,Income - Rank of average score,Income - Proportion of LSOAs in most deprived 10% nationally,Income - Rank of Proportion of LSOAs in most deprived 10% nationally,Income - Scale,Income - Rank of scale,Employment - Average rank,Employment - Rank of average rank,Employment - Average score,Employment - Rank of average score,Employment - Proportion of LSOAs in most deprived 10% nationally,Employment - Rank of proportion of LSOAs in most deprived 10% nationally,Employment - Scale,Employment - Rank of scale,"Education, Skills and Training - Average rank","Education, Skills and Training - Rank of average rank","Education, Skills and Training - Average score","Education, Skills and Training - Rank of average score","Education, Skills and Training - Proportion of LSOAs in most deprived 10% nationally","Education, Skills and Training - Rank of proportion of LSOAs in most deprived 10% nationally",Health Deprivation and Disability - Average rank,Health Deprivation and Disability - Rank of average rank,Health Deprivation and Disability - Average score,Health Deprivation and Disability - Rank of average score,Health Deprivation and Disability - Proportion of LSOAs in most deprived 10% nationally,Health Deprivation and Disability - Rank of proportion of LSOAs in most deprived 10% nationally,Crime - Average rank,Crime - Rank of average rank,Crime - Average score,Crime - Rank of average score,Crime - Proportion of LSOAs in most deprived 10% nationally,Crime - Rank of proportion of LSOAs in most deprived 10% nationally,Barriers to Housing and Services - Average rank,Barriers to Housing and Services - Rank of average rank,Barriers to Housing and Services - Average score,Barriers to Housing and Services - Rank of average score,Barriers to Housing and Services - Proportion of LSOAs in most deprived 10% nationally,Barriers to Housing and Services - Rank of proportion of LSOAs in most deprived 10% nationally,Living Environment - Average rank,Living Environment - Rank of average rank,Living Environment - Average score,Living Environment - Rank of average score,Living Environment - Proportion of LSOAs in most deprived 10% nationally,Living Environment - Rank of proportion of LSOAs in most deprived 10% nationally,Cars: No cars or vans in household; measures: Value,Cars: 1 car or van in household; measures: Value,Cars: 2 cars or vans in household; measures: Value,Cars: 3 cars or vans in household; measures: Value,Cars: 4 or more cars or vans in household; measures: Value,Total_car,WA_HubDist,WA_NUMPOINTS(500m),WA_NUMPOINTS(1km),WA_NUMPOINTS(2km),pop_den,NNI,z.score,p,expected.mean.distance,observed.mean.distance,Employee,employee/pop
Stage3,1,0.265220502,0.052693003,0.3250831,-0.369502072,0.299541631,-0.29643898,0.261057184,0.043024996,0.105992253,0.196667557,0.06028181,0.127987174,0.083300075,0.083300075,0.110340352,0.083300075,0.083300075,0.083300075,0.20205144,-0.040253689,-0.305921411,-0.618833146,0.325844104,0.356393224,-0.614272205,-0.576223101,-0.611588416,-0.608948074,-0.568242019,-0.567942815,0.568204889,-0.147981895,0.166463203,-0.227388107,-0.240907698,0.292906355,0.265235728,-0.24648827,0.276325435,-0.244384315,0.370255717,-0.364401034,0.257021163,-0.225019451,0.15628783,-0.206754934,0.338819835,-0.319087562,0.210643877,-0.311688568,0.175605135,-0.153780023,0.294595485,-0.437122734,0.275136805,-0.268550059,2.99E-16,-0.268287101,-0.032334881,-0.202326696,0.257870828,-0.402259557,0.205005944,-0.22945791,0.191643014,-0.21253677,,0.156444491,0.084922403,-0.097499668,0.068815307,-0.104801323,,0.009503688,0.521932064,-0.484201817,0.56226477,-0.488176533,0.050114422,-0.197639384,0.206183204,-0.033662198,0.304862789,-0.080420941,0.292126962,-0.240634795,0.025907114,-0.065859197,-0.062155877,-0.053608326,-0.231512073,0.165776139,-0.221412543,0.37420442,0.131098284,0.065407107,0.000151457,0.142393944,0.322603463,-0.610905122,-0.611180695,-0.564762874,0.12294411,-0.16158576,-0.093539038,0.284728697,0.282924912,0.343272904,-0.528847222,-0.631913189
"(0, '15,069 < 30,138 ft2 (1,400 < 2,800 m2)')",0.265220502,1,-0.054692207,-0.207334505,-0.334660264,0.376418635,-0.294973095,-0.118917311,-0.31757424,0.09258207,0.315035594,-0.217712591,-0.180430224,-0.121551983,-0.121551983,-0.162767875,-0.121551983,-0.121551983,-0.121551983,0.162147975,-0.333477323,-0.211902675,-0.44099904,0.359968903,0.357297262,-0.417867953,-0.363760703,-0.413754001,-0.378714658,-0.429829692,-0.409431514,0.348068837,-0.404178055,0.100194951,0.116175017,0.258308718,0.011443659,-0.350599678,0.391326412,-0.329880963,0.370856893,-0.068177995,0.124205697,-0.220470548,0.335417247,-0.346277534,0.319354991,-0.233866275,0.25977787,-0.342683265,0.257419819,-0.200675352,0.194505516,-0.255047131,0.040348463,-0.298184992,0.313363348,3.71E-16,0.30605936,0.010141624,0.175161697,-0.294985582,0.079990265,-0.176712349,0.159884875,-0.166238388,0.164353762,,0.13437376,-0.428720225,0.44742386,-0.421227854,0.436012484,,0.23404301,-0.063387202,0.112701261,0.029378116,0.101933577,-0.210429443,0.269147413,-0.182112412,0.101278354,-0.166273791,0.124675813,-0.18341084,0.14145829,-0.320319146,0.301319587,-0.353856051,0.318886621,-0.327517398,0.378044812,-0.461642126,0.471835262,0.441843066,0.380055124,0.344278692,0.310604557,0.364935243,-0.421110653,-0.414349404,-0.426113111,-0.220033121,-0.092722675,-0.096025458,-0.003108386,0.33813269,0.347505921,-0.282380125,-0.355847314
"(0, '3,013 < 15,069 ft2 (280 < 1,400 m2)')",0.052693003,-0.054692207,1,-0.146970289,-0.731999991,-0.008762293,0.020078917,0.169522083,0.162162815,-0.126501304,-0.029418036,0.135380294,0.174783715,0.147101238,0.147101238,0.261798317,0.147101238,0.147101238,0.147101238,-0.081879158,0.176705729,-0.120588818,-0.040740796,0.106113271,0.134153026,-0.070841043,-0.101412804,-0.04970914,-0.051311745,-0.027043164,-0.047399501,0.024623162,0.023117815,-0.221064899,0.037915936,0.001282818,0.015560027,0.072603813,-0.061994262,0.079753591,-0.08230486,0.089800184,-0.1362847,0.01820546,-0.073999903,0.062137378,-0.062763983,0.115770797,-0.114551193,0.093384771,-0.122475826,-0.097794238,0.002993805,0.083761598,-0.094861311,0.115318651,-0.115614255,-3.40E-16,-0.114029002,0.096867956,-0.047299851,0.087645276,-0.096162345,0.099025432,-0.086692867,0.084629572,-0.092863187,,-0.101572858,0.01421984,-0.01027712,0.049359423,-0.009464088,,-0.029082591,0.076347662,-0.053438534,0.098404441,-0.072459136,0.127177912,-0.054852055,-0.027303232,0.082084331,0.025059407,0.076990666,0.013394444,0.036798646,-0.039461551,0.068128268,-0.03143798,0.074464232,-0.022558498,0.045421898,0.054454687,-0.063474458,-0.04346845,-0.03912932,-0.079540148,-0.082433571,0.103511018,-0.054298284,-0.042853704,-0.022496764,0.110907951,-0.254894754,-0.19682209,-0.107795995,-0.110379615,-0.21843287,-0.128635022,-0.081160779
"(0, '30,138 ft2 > (2,800 m2)')",0.3250831,-0.207334505,-0.146970289,1,-0.360411699,0.542729719,-0.609307483,-0.15058141,-0.410577215,-0.101587888,0.547878503,-0.345534576,0.077580261,0.065721375,0.065721375,-0.356546724,0.065721375,0.065721375,0.065721375,0.53594649,-0.182508115,-0.23688947,-0.510304889,0.591625969,0.581263741,-0.550371332,-0.55558211,-0.542277141,-0.550261606,-0.567973834,-0.543716871,0.508158653,-0.450736297,-0.259298322,0.28925176,0.214843767,0.295113658,0.071780015,-0.101362124,0.055546749,-0.085984561,0.165352552,-0.02785809,0.05948979,-0.090166778,0.207923343,-0.193386058,0.114657999,-0.136883513,0.118935758,-0.10813137,-0.131892797,0.109343378,0.194651903,-0.268380912,0.134397755,-0.135472522,1.59E-16,-0.119933845,-0.234417349,0.025469728,0.139462886,-0.231334563,0.521590275,-0.522096408,0.518592412,-0.531161302,,-0.131874448,-0.073728687,0.049089782,-0.000603023,0.013260822,,0.342539218,0.133351052,-0.110967423,0.173604831,-0.111845303,-0.22997216,0.10504527,0.174934009,-0.127607818,0.21599803,-0.159294605,0.18478512,-0.322358281,-0.388382997,0.373815097,-0.4107579,0.370331955,-0.341070515,0.417200973,-0.504266507,0.473963334,0.480471283,0.514289594,0.507721686,0.47005076,0.595733772,-0.558946363,-0.54661791,-0.574892032,-0.413233432,-0.125519292,-0.077018117,0.112057874,0.541745401,0.555583287,-0.388816102,-0.287042823
"(0, '< 3,013 ft2 (280m2)')",-0.369502072,-0.334660264,-0.731999991,-0.360411699,1,-0.50165369,0.490324787,0.005095004,0.264414033,0.120298131,-0.456330203,0.198522859,-0.102813676,-0.102025956,-0.102025956,0.070407894,-0.102025956,-0.102025956,-0.102025956,-0.328001789,0.125762236,0.348173682,0.556925723,-0.61937637,-0.635652453,0.594358437,0.596074714,0.569641363,0.558073497,0.573688124,0.566360791,-0.495274265,0.449282414,0.289379251,-0.260912318,-0.257589245,-0.192763249,0.072663182,-0.084702347,0.065753357,-0.066278594,-0.139084169,0.069235265,0.060464937,-0.053013168,-0.000852891,0.006363525,-0.047842716,0.046867796,0.023320347,0.037822119,0.261389459,-0.164792936,-0.057226283,0.218056892,-0.026731457,0.019978922,-6.32E-16,0.01315877,0.051026229,-0.063101733,-0.007910532,0.177392441,-0.302136552,0.300465619,-0.293459555,0.308777915,,0.09602313,0.247075274,-0.245306453,0.170499114,-0.219148062,,-0.294911028,-0.111261269,0.053884358,-0.200302646,0.075911488,0.133725103,-0.150868295,0.011668425,-0.045231265,-0.064792313,-0.034026512,-0.027915177,0.087591893,0.423313221,-0.429428298,0.446576191,-0.441574708,0.384762818,-0.474371817,0.483209758,-0.462855533,-0.468527879,-0.461036802,-0.404978735,-0.363399627,-0.622092804,0.587044341,0.566697577,0.57204704,0.260275053,0.336248499,0.260205038,0.026759356,-0.395836124,-0.317280247,0.479931121,0.416771617
FoodPTt,0.299541631,0.376418635,-0.008762293,0.542729719,-0.50165369,1,-0.975929702,-0.431724865,-0.836988284,-0.192982955,0.985265772,-0.709965666,-0.265242287,-0.239474088,-0.239474088,-0.529556437,-0.239474088,-0.239474088,-0.239474088,0.869309099,-0.373572867,-0.18322443,-0.774121562,0.939475891,0.929260098,-0.831347274,-0.83829505,-0.812762304,-0.808160762,-0.862950559,-0.845028659,0.737814379,-0.739731978,-0.298705466,0.420582925,0.434962201,0.468504739,-0.282601769,0.290140382,-0.28277274,0.29335194,-0.014367766,0.195302873,-0.199612586,0.287620353,-0.242613463,0.238334845,-0.102714482,0.088660403,-0.197175281,0.173112345,-0.434744132,0.420953362,0.099049629,-0.221559289,-0.13266097,0.139657595,-3.20E-16,0.191207277,-0.438695508,0.362738761,0.027631902,-0.165618422,0.307045928,-0.291221011,0.323402768,-0.326161545,,-0.23646514,-0.397970376,0.387511943,-0.275161561,0.306467361,,0.387027381,-0.036610292,0.085561872,0.07242021,0.071924667,-0.339837997,0.364227223,-0.037415087,0.054179187,0.017947199,0.018209125,0.01754652,-0.174336109,-0.78994453,0.740211574,-0.821195499,0.746824549,-0.739087897,0.845126324,-0.902067577,0.825039152,0.895162381,0.879980024,0.842205147,0.85803821,0.934097424,-0.836303394,-0.81261865,-0.864738245,-0.704166088,-0.383230011,-0.357116501,-0.099356295,0.888775117,0.785463988,-0.54463393,-0.423701819
FoodPT15n,-0.29643898,-0.294973095,0.020078917,-0.609307483,0.490324787,-0.975929702,1,0.416953558,0.802439483,0.226456797,-0.960340639,0.715063422,0.185197554,0.166523279,0.166523279,0.488989324,0.166523279,0.166523279,0.166523279,-0.866311556,0.373611569,0.276351504,0.72224486,-0.935198383,-0.920274568,0.78790986,0.801831919,0.767498258,0.764543614,0.829778786,0.804328245,-0.744882321,0.762840205,0.298490741,-0.459288581,-0.443997461,-0.399544415,0.266108727,-0.271649587,0.266663482,-0.275766062,0.018729723,-0.19105599,0.197884768,-0.27775003,0.235944806,-0.232784721,0.115288524,-0.102136233,0.184904052,-0.19026416,0.476979643,-0.461106571,-0.065107525,0.159994633,0.133643095,-0.139496386,2.80E-16,-0.198622178,0.487045571,-0.379839273,0.017206457,0.09917803,-0.362579878,0.365717902,-0.384097064,0.397468979,,0.260747387,0.382843318,-0.370282746,0.250367022,-0.285157853,,-0.462129724,0.065286874,-0.106495106,-0.02221018,-0.095321307,0.337166715,-0.364790937,0.004532252,-0.054782829,-0.068588829,-0.009420199,-0.092916278,0.228905982,0.779267959,-0.723280559,0.815564381,-0.728358239,0.755659676,-0.848092829,0.894663725,-0.825492643,-0.881997929,-0.873151746,-0.830481119,-0.812390809,-0.932340033,0.795717755,0.768662,0.834373835,0.766794984,0.307529438,0.276284419,0.128595801,-0.878559116,-0.806618377,0.550831149,0.329753497
FoodPT30n,0.261057184,-0.118917311,0.169522083,-0.15058141,0.005095004,-0.431724865,0.416953558,1,0.705160971,0.288133582,-0.458829991,0.852023702,0.065694534,-0.018417301,-0.018417301,0.490976061,-0.018417301,-0.018417301,-0.018417301,-0.287482128,0.436143355,-0.309487343,0.243212922,-0.449163381,-0.413734983,0.253459886,0.26409119,0.242550873,0.245336814,0.272126263,0.269796984,-0.180646187,0.389369507,0.330508426,-0.392036669,-0.406061323,-0.332035329,0.18174113,-0.179491142,0.17257344,-0.147085506,0.109467091,-0.13185585,0.075084506,-0.077372347,-0.038409895,0.015279893,0.1708039,-0.156109662,0.274617941,-0.149906115,0.135484361,-0.102914403,-0.060419587,0.088018189,0.089023025,-0.090975613,3.59E-14,-0.09471464,0.123836736,-0.25687026,-0.068329042,0.105345144,-0.201543134,0.183607756,-0.229754693,0.217580334,,0.489964171,0.119680048,-0.117281929,0.076682265,-0.095274965,,-0.189031293,0.060289349,-0.050470706,0.02768699,-0.039985183,0.024904721,-0.063789137,0.067809071,0.018597484,0.088321102,0.028172078,0.090598205,0.07340738,0.524452577,-0.55146951,0.470721522,-0.52410045,0.218799951,-0.353985581,0.394400283,-0.254905877,-0.443559353,-0.469444776,-0.546287967,-0.617690545,-0.447221391,0.255879885,0.238339514,0.269721588,0.432898057,0.289406271,0.332876293,0.179766498,-0.572001867,-0.406245075,0.05436866,0.075562529
FoodPT15pct,0.043024996,-0.31757424,0.162162815,-0.410577215,0.264414033,-0.836988284,0.802439483,0.705160971,1,0.300782362,-0.86551956,0.881918392,0.329666758,0.289080853,0.289080853,0.715170051,0.289080853,0.289080853,0.289080853,-0.757507979,0.38746137,-0.00168064,0.492631314,-0.759147629,-0.736871065,0.531893626,0.560989523,0.512456024,0.503506151,0.570263876,0.551633591,-0.44464977,0.657985394,0.392685572,-0.521228232,-0.564005766,-0.364588687,0.364469435,-0.360009787,0.370562581,-0.350522212,0.090506156,-0.267487929,0.270779793,-0.323357841,0.219276338,-0.239033486,0.23988408,-0.21501273,0.349568979,-0.263305254,0.345812072,-0.353414823,0.006796466,0.073805568,0.226378817,-0.230906607,-1.00E-14,-0.26267092,0.295055315,-0.381220756,0.062206691,0.03580159,-0.190185283,0.173779034,-0.221857512,0.225257115,,0.416701686,0.425657447,-0.423537461,0.322234838,-0.363937967,,-0.387265118,0.189603383,-0.21008468,0.106719259,-0.202829188,0.364349773,-0.415012601,0.094220726,-0.012705721,0.110548103,0.001544168,0.12225891,0.104552783,0.760704039,-0.743163558,0.743355013,-0.736565979,0.52080097,-0.673389096,0.760570588,-0.588680803,-0.808843118,-0.833623286,-0.857239305,-0.829143238,-0.750595743,0.53782816,0.510504123,0.57042663,0.686795523,0.311599664,0.317961822,0.102719131,-0.742008915,-0.600927238,0.29265338,0.182760652
FoodPT30pct,0.105992253,0.09258207,-0.126501304,-0.101587888,0.120298131,-0.192982955,0.226456797,0.288133582,0.300782362,1,-0.194834334,0.41171283,-0.036452947,-0.03125,-0.03125,0.293406709,-0.03125,-0.03125,-0.03125,-0.072020155,-0.033061708,0.044615058,0.12106403,-0.217645199,-0.19322297,0.114852398,0.193649167,0.112518945,0.104185215,0.133695373,0.146172023,0.009338368,0.206111754,0.409187771,-0.269433228,-0.383799751,0.033565707,0.131567951,-0.131760626,0.132680173,-0.11878253,0.074701788,-0.118283409,0.091724923,-0.08912339,0.015793435,-0.035889829,0.116889795,-0.117077,0.142521928,-0.116225277,0.155926389,-0.11848245,0.118011834,-0.050850516,0.055026801,-0.061759237,-2.64E-13,-0.057269378,0.055901699,-0.125064489,0.113854783,-0.050757188,-0.303186518,0.349505235,-0.340453878,0.374015737,,0.910671134,0.085528642,-0.076797937,0.036267258,-0.065962369,,-0.090969911,0.044052344,-0.02860036,0.039683627,-0.03166617,0.19107175,-0.093325118,0.253583281,-0.266360386,0.215642748,-0.277587045,0.174718345,-0.176901981,0.381629216,-0.469627019,0.331567215,-0.453866338,0.140825178,-0.248740668,0.221831614,-0.1151299,-0.260539537,-0.300873578,-0.345690305,-0.190272309,-0.22806501,0.119125261,0.111527279,0.134850746,0.237913723,0.016754284,0.000333397,-0.023279181,-0.12108769,-0.130496563,0.091323377,0.035206935
