Mobility(Stage 2),Grocery(Super),Grocery(Large),Grocery(Medium),Grocery(Small),NNI,PointsDens,FoodPTt,FoodPT15n,FoodCyct,FoodCyc15n,FoodCart,DTN,NP(500m),NP(1km),NP(2km),AG(0-18),AG(19-34),AG(35-49),AG(50-64),AG(65+),InDe,CO(0),CO(1),CO(2),CO(3),CO(4+),pop_den,employee/pop
-7.036363636,0.027027027,0.162162162,0.27027027,0.540540541,1.102678271,0.01,7.132653061,6.255102041,7.489795918,9.724489796,7.102040816,470.9993408,1.177435256,4.193209282,12.21238599,0.227448494,0.253761706,0.230122461,0.156213802,0.132453537,0,0.251371015,0.472728987,0.215905341,0.044956709,0.015037948,46.56992789,0.417519089
-7.536363636,0.077922078,0.064935065,0.324675325,0.532467532,0.766033588,0.009,7.245454545,5.622727273,7.704545455,8.822727273,7.131818182,541.499061,1.128670063,4.21065915,15.26443588,0.258696518,0.216998082,0.218282937,0.175861605,0.130160858,0,0.334618302,0.435714778,0.178167023,0.03841804,0.013081856,43.82144465,0.317646842
-7.463636364,0.051282051,0.153846154,0.256410256,0.538461538,0.747274969,0.005,7.406091371,5.776649746,7.776649746,9.253807107,6.989847716,560.2588966,0.952602186,3.263375018,10.75096589,0.234050675,0.185764813,0.224581893,0.180768769,0.17483385,0,0.234774037,0.455540952,0.236195381,0.054041662,0.019447968,21.63767818,0.342935507
-7.581818182,0.153846154,0.038461538,0.230769231,0.576923077,0.9831202,0.009,7.035211268,5.464788732,7.563380282,9.774647887,7.232394366,452.1566844,1.048349495,3.67877491,12.49162318,0.244242289,0.258607732,0.230598653,0.153383934,0.113167392,0,0.315957514,0.450401467,0.178984637,0.041537586,0.013118796,47.4981095,0.479517803
-7.5,0.06557377,0.06557377,0.31147541,0.557377049,0.847952561,0.011,7.178571429,5.571428571,7.612244898,9.632653061,7.306122449,497.8983871,1.140178932,4.036058466,15.10878393,0.247747472,0.243529539,0.231823097,0.159124232,0.11777566,0,0.353371158,0.442014152,0.16132074,0.032986251,0.0103077,61.76315545,0.386117257
-7.172727273,0.096153846,0.057692308,0.365384615,0.480769231,0.913024587,0.005,7.66,4.646666667,7.833333333,8.853333333,7.1,569.7742307,0.937919954,3.282575361,10.1348593,0.229873336,0.206455628,0.195716322,0.183844872,0.184109842,0,0.230084672,0.442062161,0.24517742,0.060803095,0.021872653,21.76225467,0.340148945
-7.963636364,0.118644068,0.084745763,0.220338983,0.576271186,0.9076291,0.005,8.409937888,3.832298137,8.118012422,8.50931677,7.385093168,554.6700049,0.794789324,2.666246293,8.55888487,0.249624666,0.247733723,0.213471711,0.158416041,0.130753858,0,0.226674916,0.438481649,0.251392021,0.061119205,0.022332209,25.73322202,0.554059818
-7.945454545,0.05,0.125,0.45,0.375,0.945703084,0.008,7.95620438,5.124087591,7.948905109,9.671532847,7.291970803,495.9199283,0.942689919,3.442892977,12.51025641,0.242698175,0.222482094,0.21169425,0.173609032,0.149516449,0,0.235095173,0.439229601,0.249121849,0.059476907,0.01707647,48.97222338,0.298644438
-7.745454545,0.134615385,0.038461538,0.269230769,0.557692308,0.8108727,0.012,6.566473988,6.150289017,7.416184971,9.971098266,7.075144509,470.888784,1.268674322,4.098398586,15.44832323,0.243129884,0.268903621,0.215874721,0.15903732,0.113054455,0.1,0.429963912,0.395317629,0.1349582,0.031091888,0.008668371,74.94604778,0.3556072
-7.363636364,0.052631579,0.105263158,0.263157895,0.578947368,0.699819305,0.009,8.014218009,5.255924171,8.213270142,9.535545024,7.331753555,488.3959277,1.167499855,3.794207175,13.09693106,0.245262595,0.23566005,0.221598616,0.157841508,0.139637231,0,0.287118514,0.44139027,0.211145119,0.04567527,0.014670826,43.76923739,0.340044931
