Borough,Stage1,Pr(z > 0),Stage2,Pr(z > 0),Stage3,Pr(z > 0)
Kingston upon Thames,0.178,0.321,0.118,0.371,-0.031,0.5
Croydon,0.033,0.444,0.259,0.261,0.684,0.054
Bromley,0.447,0.09,0.105,0.352,0.156,0.297
Hounslow,0.35,0.199,0.237,0.276,0.195,0.306
Ealing,0.082,0.387,0.368,0.158,0.151,0.321
Havering,-0.19,0.595,0.202,0.362,-0.679,0.841
Hillingdon,0.132,0.378,0.857,0.047,0.054,0.435
Harrow,0.047,0.431,0.813,0.031,-0.03,0.499
Brent,0.06,0.389,-0.461,0.907,-0.002,0.464
Barnet,-0.072,0.541,0.027,0.442,-0.085,0.554
Lambeth,0.166,0.31,-0.098,0.567,0.35,0.166
Southwark,-0.327,0.712,-0.206,0.629,0.007,0.47
Lewisham,0.441,0.186,0.064,0.429,-0.23,0.649
Greenwich,1.227,0.009,0.237,0.306,-0.115,0.564
Bexley,1.29,0.022,0.222,0.35,-0.011,0.488
Enfield,0.069,0.425,0.1,0.402,-0.149,0.589
Waltham Forest,0.037,0.432,0.107,0.364,0.142,0.329
Redbridge,-0.084,0.546,0.339,0.206,0.415,0.158
Sutton,-1.034,0.971,0.402,0.207,-0.043,0.509
Richmond upon Thames,0.723,0.077,0.197,0.333,0.493,0.157
Merton,0.147,0.327,0.122,0.35,0.106,0.363
Wandsworth,0.451,0.142,0.056,0.423,-0.093,0.555
Hammersmith and Fulham,0.027,0.449,-0.304,0.727,-0.259,0.696
Kensington and Chelsea,0.217,0.319,0.553,0.135,-0.276,0.681
Westminster,1.578,0,2.754,0,0.385,0.175
Camden,0.89,0.005,1.836,0,0.286,0.184
Tower Hamlets,3.179,0,0.991,0.027,0.454,0.176
Islington,0.463,0.137,1.955,0,0.507,0.113
Hackney,-0.386,0.84,0.188,0.27,-1.176,0.999
Haringey,-0.009,0.475,-0.103,0.579,-0.044,0.514
Newham,0.21,0.271,0.014,0.455,0.438,0.116
Barking and Dagenham,-0.072,0.531,0.219,0.319,0.495,0.157
City of London,3.118,0,4.385,0,1.263,0
