Code,Area, ALL AGES,0-18,19-34,35-49,50-64,65+
E09000001,City of London,8760 ,1138 ,2643 ,1959 ,1660 ,1360 
E09000002,Barking and Dagenham,201979 ,63092 ,47663 ,43724 ,27894 ,19606 
E09000003,Barnet,379691 ,93124 ,89478 ,84139 ,59931 ,53019 
E09000004,Bexley,242142 ,58944 ,49987 ,49780 ,43343 ,40088 
E09000005,Brent,324012 ,78777 ,87128 ,69946 ,51530 ,36631 
E09000006,Bromley,324857 ,76033 ,60347 ,72957 ,58724 ,56796 
E09000007,Camden,241059 ,48318 ,78384 ,53142 ,33031 ,28184 
E09000008,Croydon,379031 ,98054 ,82249 ,82736 ,66657 ,49335 
E09000009,Ealing,343059 ,84992 ,83545 ,79529 ,54589 ,40404 
E09000010,Enfield,328433 ,87426 ,75131 ,70453 ,53378 ,42045 
E09000011,Greenwich,274803 ,69190 ,72979 ,64218 ,39749 ,28667 
E09000012,Hackney,269009 ,63916 ,91887 ,61558 ,32316 ,19332 
E09000013,Hammersmith and Fulham,179410 ,35745 ,57003 ,42954 ,25243 ,18465 
E09000014,Haringey,272864 ,63858 ,78186 ,66502 ,39015 ,25303 
E09000015,Harrow,247130 ,59978 ,54982 ,52316 ,42904 ,36950 
E09000016,Havering,249085 ,57258 ,51425 ,48750 ,45793 ,45859 
E09000017,Hillingdon,297735 ,74322 ,73759 ,63558 ,47166 ,38930 
E09000018,Hounslow,268770 ,65645 ,69506 ,61978 ,41225 ,30416 
E09000019,Islington,227692 ,42432 ,87371 ,48631 ,29248 ,20010 
E09000020,Kensington and Chelsea,157711 ,29653 ,40182 ,38384 ,26865 ,22627 
E09000021,Kingston upon Thames,173525 ,39468 ,44034 ,39932 ,27107 ,22984 
E09000022,Lambeth,324431 ,65826 ,116438 ,73528 ,43291 ,25348 
E09000023,Lewisham,297325 ,70758 ,82643 ,72384 ,43895 ,27645 
E09000024,Merton,204565 ,48278 ,49841 ,49614 ,31896 ,24936 
E09000025,Newham,332817 ,87959 ,110376 ,69878 ,41188 ,23416 
E09000026,Redbridge,296793 ,79008 ,71380 ,64320 ,45867 ,36218 
E09000027,Richmond upon Thames,194730 ,46169 ,35526 ,49936 ,34249 ,28850 
E09000028,Southwark,308901 ,66010 ,104160 ,70781 ,43430 ,24520 
E09000029,Sutton,200145 ,48575 ,39682 ,46809 ,34920 ,30159 
E09000030,Tower Hamlets,295236 ,68188 ,116659 ,63298 ,29403 ,17688 
E09000031,Waltham Forest,271170 ,68054 ,72312 ,62968 ,39955 ,27881 
E09000032,Wandsworth,314544 ,63377 ,108380 ,74495 ,38983 ,29309 
E09000033,Westminster,242299 ,44842 ,74786 ,58530 ,35756 ,28385 
